t,s,w
t1,0.193,0.007
t2,0.421,0.021
t3,0.514,0.029
t4,0.514,0.028
t5,0.568,0.029
t6,0.421,0.028
t7,0.318,0.027
t8,0.174,0.037
t9,0.064,0.054
t10,0.001,0.057
t11,0,0.042
t12,0,0.025
t13,0,0.012
t14,0,0.005
t15,0,0.004
t16,0,0.011
t17,0,0.03
t18,0,0.056
t19,0,0.078
t20,0,0.076
t21,0,0.057
t22,0,0.035
t23,0,0.016
t24,0.009,0.007
t25,0.133,0.003
t26,0.311,0.005
t27,0.425,0.001
t28,0.358,0
t29,0.303,0
t30,0.27,0
t31,0.22,0
t32,0.15,0.001
t33,0.059,0.003
t34,0.001,0.008
t35,0,0.016
t36,0,0.019
t37,0,0.012
t38,0,0.004
t39,0,0.001
t40,0,0
t41,0,0
t42,0,0
t43,0,0
t44,0,0
t45,0,0
t46,0,0
t47,0,0.002
t48,0.009,0.008
t49,0.114,0.008
t50,0.361,0.031
t51,0.511,0.031
t52,0.582,0.018
t53,0.472,0.009
t54,0.386,0.008
t55,0.276,0.013
t56,0.158,0.018
t57,0.055,0.026
t58,0,0.058
t59,0,0.114
t60,0,0.141
t61,0,0.144
t62,0,0.126
t63,0,0.101
t64,0,0.092
t65,0,0.087
t66,0,0.094
t67,0,0.112
t68,0,0.131
t69,0,0.145
t70,0,0.127
t71,0,0.102
t72,0.002,0.074
t73,0.053,0.024
t74,0.144,0.013
t75,0.229,0.009
t76,0.253,0.01
t77,0.223,0.013
t78,0.195,0.024
t79,0.155,0.041
t80,0.092,0.064
t81,0.033,0.081
t82,0,0.124
t83,0,0.2
t84,0,0.236
t85,0,0.259
t86,0,0.278
t87,0,0.254
t88,0,0.219
t89,0,0.18
t90,0,0.123
t91,0,0.075
t92,0,0.039
t93,0,0.018
t94,0,0.017
t95,0,0.017
t96,0.003,0.019
t97,0.046,0.022
t98,0.118,0.027
t99,0.196,0.047
t100,0.242,0.07
t101,0.259,0.068
t102,0.258,0.076
t103,0.215,0.084
t104,0.131,0.072
t105,0.054,0.034
t106,0.001,0.014
t107,0,0.013
t108,0,0.025
t109,0,0.067
t110,0,0.14
t111,0,0.144
t112,0,0.117
t113,0,0.048
t114,0,0
t115,0,0
t116,0,0.045
t117,0,0.193
t118,0,0.236
t119,0,0.138
t120,0.004,0.036
t121,0.074,0.002
t122,0.207,0.002
t123,0.428,0.003
t124,0.595,0.001
t125,0.589,0
t126,0.475,0
t127,0.429,0.004
t128,0.203,0.011
t129,0.076,0.049
t130,0.002,0.216
t131,0,0.358
t132,0,0.361
t133,0,0.32
t134,0,0.272
t135,0,0.232
t136,0,0.179
t137,0,0.148
t138,0,0.157
t139,0,0.158
t140,0,0.146
t141,0,0.13
t142,0,0.111
t143,0,0.087
t144,0.003,0.063
t145,0.054,0.034
t146,0.151,0.035
t147,0.241,0.074
t148,0.313,0.122
t149,0.317,0.149
t150,0.279,0.171
t151,0.212,0.203
t152,0.134,0.234
t153,0.053,0.223
t154,0.001,0.252
t155,0,0.322
t156,0,0.364
t157,0,0.359
t158,0,0.307
t159,0,0.251
t160,0,0.228
t161,0,0.204
t162,0,0.172
t163,0,0.146
t164,0,0.133
t165,0,0.112
t166,0,0.093
t167,0,0.101
t168,0.005,0.115
t169,0.059,0.054
t170,0.133,0.024
t171,0.206,0.107
t172,0.259,0.125
t173,0.264,0.139
t174,0.202,0.164
t175,0.125,0.185
t176,0.058,0.167
t177,0.015,0.133
t178,0,0.144
t179,0,0.182
t180,0,0.145
t181,0,0.104
t182,0,0.084
t183,0,0.084
t184,0,0.078
t185,0,0.101
t186,0,0.133
t187,0,0.166
t188,0,0.175
t189,0,0.179
t190,0,0.18
t191,0,0.197
t192,0,0.188
t193,0.019,0.154
t194,0.053,0.193
t195,0.087,0.218
t196,0.109,0.185
t197,0.116,0.143
t198,0.117,0.113
t199,0.151,0.087
t200,0.103,0.076
t201,0.034,0.059
t202,0,0.053
t203,0,0.07
t204,0,0.064
t205,0,0.052
t206,0,0.043
t207,0,0.028
t208,0,0.017
t209,0,0.021
t210,0,0.037
t211,0,0.039
t212,0,0.031
t213,0,0.025
t214,0,0.02
t215,0,0.024
t216,0.005,0.014
t217,0.065,0.003
t218,0.15,0.006
t219,0.225,0.006
t220,0.267,0.007
t221,0.289,0.004
t222,0.245,0.004
t223,0.195,0.006
t224,0.118,0.013
t225,0.04,0.022
t226,0,0.046
t227,0,0.081
t228,0,0.114
t229,0,0.13
t230,0,0.115
t231,0,0.088
t232,0,0.06
t233,0,0.04
t234,0,0.026
t235,0,0.018
t236,0,0.012
t237,0,0.011
t238,0,0.002
t239,0,0.041
t240,0.005,0.009
t241,0.086,0.008
t242,0.192,0.004
t243,0.236,0.004
t244,0.265,0.006
t245,0.336,0.014
t246,0.316,0.024
t247,0.247,0.021
t248,0.153,0.015
t249,0.06,0.012
t250,0.001,0.006
t251,0,0.003
t252,0,0.006
t253,0,0.016
t254,0,0.034
t255,0,0.049
t256,0,0.053
t257,0,0.047
t258,0,0.027
t259,0,0.005
t260,0,0
t261,0,0
t262,0,0
t263,0,0.001
t264,0.007,0
t265,0.106,0
t266,0.263,0
t267,0.474,0
t268,0.703,0.006
t269,0.718,0.016
t270,0.679,0.028
t271,0.551,0.041
t272,0.356,0.043
t273,0.094,0.07
t274,0.002,0.156
t275,0,0.2
t276,0,0.144
t277,0,0.061
t278,0,0.012
t279,0,0.001
t280,0,0
t281,0,0.001
t282,0,0.004
t283,0,0.013
t284,0,0.028
t285,0,0.045
t286,0,0.058
t287,0,0.059
t288,0.018,0.05
t289,0.172,0.023
t290,0.391,0.021
t291,0.547,0.025
t292,0.614,0.017
t293,0.635,0.011
t294,0.59,0.012
t295,0.488,0.019
t296,0.323,0.033
t297,0.127,0.05
t298,0.005,0.081
t299,0,0.098
t300,0,0.072
t301,0,0.035
t302,0,0.015
t303,0,0.019
t304,0,0.043
t305,0,0.073
t306,0,0.087
t307,0,0.088
t308,0,0.076
t309,0,0.058
t310,0,0.051
t311,0,0.05
t312,0.002,0.047
t313,0.046,0.028
t314,0.115,0.017
t315,0.191,0.025
t316,0.246,0.018
t317,0.241,0.008
t318,0.198,0.008
t319,0.148,0.023
t320,0.094,0.055
t321,0.033,0.077
t322,0,0.101
t323,0,0.131
t324,0,0.146
t325,0,0.167
t326,0,0.174
t327,0,0.174
t328,0,0.156
t329,0,0.118
t330,0,0.093
t331,0,0.087
t332,0,0.077
t333,0,0.054
t334,0,0.035
t335,0,0.036
t336,0.007,0.054
t337,0.079,0.069
t338,0.19,0.154
t339,0.303,0.395
t340,0.364,0.61
t341,0.372,0.688
t342,0.333,0.754
t343,0.233,0.831
t344,0.126,0.877
t345,0.046,0.86
t346,0.001,0.841
t347,0,0.777
t348,0,0.712
t349,0,0.666
t350,0,0.606
t351,0,0.538
t352,0,0.501
t353,0,0.469
t354,0,0.413
t355,0,0.328
t356,0,0.248
t357,0,0.188
t358,0,0.158
t359,0,0.121
t360,0.012,0.067
t361,0.08,0.03
t362,0.164,0.018
t363,0.244,0.009
t364,0.295,0.002
t365,0.318,0
t366,0.295,0
t367,0.254,0
t368,0.284,0
t369,0.154,0
t370,0.009,0.001
t371,0,0.001
t372,0,0
t373,0,0
t374,0,0
t375,0,0
t376,0,0
t377,0,0
t378,0,0
t379,0,0.001
t380,0,0.005
t381,0,0.005
t382,0,0.001
t383,0,0
t384,0.028,0
t385,0.253,0.001
t386,0.475,0
t387,0.626,0
t388,0.693,0.001
t389,0.709,0.001
t390,0.662,0
t391,0.458,0
t392,0.301,0
t393,0.12,0
t394,0.006,0.001
t395,0,0.016
t396,0,0.053
t397,0,0.09
t398,0,0.09
t399,0,0.066
t400,0,0.059
t401,0,0.071
t402,0,0.082
t403,0,0.076
t404,0,0.063
t405,0,0.054
t406,0,0.062
t407,0,0.073
t408,0.031,0.074
t409,0.229,0.036
t410,0.451,0.025
t411,0.609,0.077
t412,0.679,0.119
t413,0.699,0.158
t414,0.659,0.183
t415,0.566,0.185
t416,0.393,0.167
t417,0.131,0.123
t418,0.005,0.108
t419,0,0.124
t420,0,0.135
t421,0,0.111
t422,0,0.085
t423,0,0.058
t424,0,0.027
t425,0,0.009
t426,0,0.003
t427,0,0.002
t428,0,0.003
t429,0,0.006
t430,0,0.013
t431,0,0.029
t432,0.002,0.046
t433,0.044,0.031
t434,0.121,0.028
t435,0.195,0.027
t436,0.227,0.026
t437,0.195,0.032
t438,0.133,0.053
t439,0.104,0.085
t440,0.074,0.121
t441,0.029,0.13
t442,0,0.096
t443,0,0.079
t444,0,0.072
t445,0,0.076
t446,0,0.086
t447,0,0.126
t448,0,0.197
t449,0,0.289
t450,0,0.363
t451,0,0.388
t452,0,0.367
t453,0,0.305
t454,0,0.261
t455,0,0.213
t456,0.009,0.155
t457,0.117,0.087
t458,0.333,0.087
t459,0.491,0.3
t460,0.533,0.376
t461,0.542,0.352
t462,0.504,0.491
t463,0.437,0.612
t464,0.311,0.684
t465,0.136,0.622
t466,0.009,0.593
t467,0,0.669
t468,0,0.703
t469,0,0.688
t470,0,0.642
t471,0,0.571
t472,0,0.476
t473,0,0.374
t474,0,0.279
t475,0,0.211
t476,0,0.176
t477,0,0.158
t478,0,0.156
t479,0,0.145
t480,0.02,0.106
t481,0.14,0.02
t482,0.256,0.001
t483,0.546,0.016
t484,0.672,0.034
t485,0.699,0.042
t486,0.66,0.049
t487,0.554,0.047
t488,0.383,0.04
t489,0.165,0.025
t490,0.012,0.009
t491,0,0.007
t492,0,0.017
t493,0,0.057
t494,0,0.137
t495,0,0.258
t496,0,0.323
t497,0,0.296
t498,0,0.241
t499,0,0.169
t500,0,0.112
t501,0,0.087
t502,0,0.104
t503,0,0.141
t504,0.051,0.176
t505,0.32,0.125
t506,0.545,0.08
t507,0.693,0.099
t508,0.762,0.095
t509,0.779,0.1
t510,0.738,0.093
t511,0.625,0.07
t512,0.458,0.042
t513,0.225,0.02
t514,0.022,0.007
t515,0,0.008
t516,0,0.03
t517,0,0.083
t518,0,0.162
t519,0,0.245
t520,0,0.291
t521,0,0.311
t522,0,0.299
t523,0,0.254
t524,0,0.204
t525,0,0.159
t526,0,0.144
t527,0,0.148
t528,0.063,0.157
t529,0.329,0.119
t530,0.545,0.031
t531,0.681,0.01
t532,0.748,0.003
t533,0.764,0.002
t534,0.723,0.001
t535,0.609,0
t536,0.441,0
t537,0.212,0
t538,0.021,0
t539,0,0.008
t540,0,0.064
t541,0,0.163
t542,0,0.249
t543,0,0.267
t544,0,0.234
t545,0,0.201
t546,0,0.184
t547,0,0.168
t548,0,0.15
t549,0,0.132
t550,0,0.125
t551,0,0.134
t552,0.053,0.144
t553,0.285,0.093
t554,0.495,0.021
t555,0.622,0.018
t556,0.657,0.01
t557,0.669,0.004
t558,0.628,0.002
t559,0.464,0.001
t560,0.304,0
t561,0.139,0
t562,0.012,0
t563,0,0
t564,0,0.004
t565,0,0.008
t566,0,0.004
t567,0,0
t568,0,0
t569,0,0
t570,0,0
t571,0,0
t572,0,0.001
t573,0,0.003
t574,0,0.008
t575,0,0.026
t576,0.005,0.063
t577,0.05,0.08
t578,0.112,0.058
t579,0.183,0.057
t580,0.253,0.166
t581,0.322,0.358
t582,0.337,0.519
t583,0.299,0.636
t584,0.2,0.708
t585,0.085,0.732
t586,0.006,0.834
t587,0,0.833
t588,0,0.784
t589,0,0.739
t590,0,0.675
t591,0,0.607
t592,0,0.562
t593,0,0.538
t594,0,0.523
t595,0,0.488
t596,0,0.437
t597,0,0.37
t598,0,0.332
t599,0,0.332
t600,0.018,0.305
t601,0.159,0.196
t602,0.337,0.262
t603,0.486,0.233
t604,0.604,0.152
t605,0.625,0.097
t606,0.584,0.087
t607,0.465,0.117
t608,0.311,0.165
t609,0.131,0.212
t610,0.011,0.289
t611,0,0.361
t612,0,0.361
t613,0,0.298
t614,0,0.22
t615,0,0.158
t616,0,0.126
t617,0,0.124
t618,0,0.135
t619,0,0.153
t620,0,0.168
t621,0,0.175
t622,0,0.187
t623,0,0.219
t624,0.03,0.226
t625,0.206,0.089
t626,0.4,0.017
t627,0.539,0.002
t628,0.608,0.001
t629,0.625,0.003
t630,0.572,0.002
t631,0.455,0.001
t632,0.273,0
t633,0.103,0.004
t634,0.006,0.074
t635,0,0.212
t636,0,0.312
t637,0,0.311
t638,0,0.245
t639,0,0.176
t640,0,0.113
t641,0,0.065
t642,0,0.037
t643,0,0.022
t644,0,0.015
t645,0,0.015
t646,0,0.025
t647,0,0.042
t648,0.007,0.053
t649,0.061,0.033
t650,0.124,0.031
t651,0.186,0.024
t652,0.232,0.015
t653,0.216,0.01
t654,0.163,0.009
t655,0.108,0.017
t656,0.06,0.036
t657,0.025,0.062
t658,0,0.073
t659,0,0.075
t660,0,0.064
t661,0,0.053
t662,0,0.048
t663,0,0.048
t664,0,0.05
t665,0,0.054
t666,0,0.055
t667,0,0.051
t668,0,0.036
t669,0,0.015
t670,0,0.006
t671,0,0.005
t672,0.002,0.005
t673,0.036,0.002
t674,0.091,0
t675,0.139,0
t676,0.148,0
t677,0.144,0
t678,0.117,0
