Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,1062.414784,1062.414784,0.059659575,89.63697118,573.6032285,204.5978507,180.1191793,0,112.72909,0,33.58955823,1.372880442,8.45E-05,29.72759957,11.46698574,488.8115555,112.634421,235.2340426,0,0,6.05,26.367,10.79,73.40276596,1062.414784,827.1807415,235.2340426,24.333326,24.333326,2989.243836,1793.546302,922.3256853,0,119.1370967,6.641878408,5.826036931,59659.57457,0.078472336,0,0,1063829.787,0,7.85E-08,0.000131534,1.253614123,0,0,2.645076861,1.043640967,95.81839271,0,53.99051643,46.00948357,59.38170991,40.61829009,0,6639292.904,3942525.652,2696767.251,0,0,59.78487672,215.2255562,275.0104329,189.2412313,32.36120702,221.6024383,0.000221602,5.245144854,18.84330147,200.1940206,312.9231105
cost,YCurrent,S2,879.8011195,879.8011195,0.042790857,89.62391442,424.5567947,146.5481632,129.6797881,0,80.7739218,0,25.19216867,1.14513782,6.09E-05,29.7428655,11.47468881,455.2443247,83.36722387,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,879.8011195,703.3755876,176.4255319,18.2499945,18.2499945,2141.118257,1291.293383,660.8752258,0,119.2171283,6.641878408,5.826036931,42790.85718,0.054137612,0,0,797872.3404,250000,5.41E-08,0.000126517,0.899154378,9.70E-07,0.00010789,2.642424764,1.044342044,95.75406889,0,48.25599619,51.74400381,59.2576329,40.7423671,0,4765511.707,2823929.433,1941582.274,0,0,42.82236513,154.9552059,197.777571,135.5486128,23.29898728,158.8476001,0.000158848,5.693743185,18.51170975,162.8662296,243.6401514
cost,YCurrent,S3,711.0227858,711.0227858,0.027308871,89.61061474,287.0748539,93.44168742,83.13718522,0,51.52387732,0,16.79477911,0.917395197,3.85E-05,29.77100388,11.48888722,423.9479319,56.37086464,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,711.0227858,593.4057645,117.6170213,12.166663,12.166663,1365.214674,827.8429407,421.5575187,0,119.3646436,6.641878408,5.826036931,27308.87074,0.032275874,0,0,531914.8936,500000,3.23E-08,0.000118188,0.57371166,0.000123987,0.021606753,2.641114582,1.045634278,95.63573238,0,40.37491619,59.62508381,59.12621992,40.87378008,0,3045327.601,1800587.095,1244740.506,0,0,27.30429348,99.34115289,126.6454464,86.42818054,14.93688608,101.3650666,0.000101365,6.619210122,18.17653089,129.2392763,180.7631536
cost,Y2030,S1,924.3309865,924.3309865,0.059659679,72.60324347,458.1835745,250.4847039,30.66300627,1.99E-11,99.39167488,0,33.58955823,1.372880442,0.000124321,30.71593465,11.96569177,466.147412,89.97027748,235.2340426,0,0,6.05,26.367,10.79,73.40276596,924.3309865,689.0969439,235.2340426,24.333326,24.333326,4375.971079,331.9227293,1267.327422,0,124.3184398,6.641878408,5.826036931,59659.67895,0.182856737,0,0,1063829.787,0,1.83E-07,0.0003065,1.253614123,0,0,3.796109396,1.089029533,91.82487432,0,49.56921073,50.43078927,92.04094837,7.959051634,0,6270563.117,5771485.76,499077.3562,6.59E-10,0,87.51942159,39.83072752,127.3501491,277.0313165,5.988928274,283.0202448,0.00028302,4.568683428,18.73511915,173.1745117,272.5661865
cost,Y2030,S2,781.213682,781.213682,0.042790928,72.70521481,342.1508345,176.6834417,26.18862273,6.28E-12,70.4349805,0,25.19216867,1.14513782,9.44E-05,30.59946609,11.90692266,439.0628475,67.18574658,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,781.213682,604.7881501,176.4255319,18.2499945,18.2499945,3086.662054,283.488157,898.1052223,0,123.7078538,6.641878408,5.826036931,42790.9281,0.125058517,0,0,797872.3404,250000,1.25E-07,0.000292255,0.899155349,0,0,3.750648066,1.083680799,92.27809522,0,43.79734283,56.20265717,90.52198101,9.47801899,0,4497262.306,4071010.93,426251.3753,2.08E-10,0,61.73324109,34.01857883,95.75181992,195.4085247,5.115016504,200.5235412,0.000200524,5.006170658,18.40517025,143.7837082,214.2186887
cost,Y2030,S3,648.5988538,648.5988538,0.027308909,72.89335389,234.8967652,109.4962349,21.32753643,-9.42E-12,44.0467126,0,16.79477911,0.917395197,6.12E-05,30.47162883,11.842417,413.7020886,46.12502133,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,648.5988538,530.9818325,117.6170213,12.166663,12.166663,1912.900666,230.8675816,561.6326196,0,123.0376675,6.641878408,5.826036931,27308.90948,0.071018113,0,0,531914.8936,500000,7.10E-08,0.000260055,0.573828056,7.59E-06,0.001322867,3.675181274,1.077809967,92.78073413,0,36.2160315,63.7839685,87.90509968,12.09490032,0,2870063.682,2522932.34,347131.3414,-3.11E-10,0,38.25801333,27.7041098,65.96212312,121.1007523,4.165576097,125.2663284,0.000125266,5.906794278,18.07918669,117.2613976,161.3081102
cost,Y2040,S1,857.2452744,857.2452744,0.059659742,64.88318771,402.1088589,219.0529291,19.30433487,-1.75E-11,85.41173098,0,33.58955823,1.372880442,0.000157219,31.17828033,12.19898773,455.1364155,78.959281,235.2340426,0,0,6.05,26.367,10.79,73.40276596,857.2452744,622.0112318,235.2340426,24.333326,24.333326,4275.733494,219.8756442,1233.213184,0,126.7422854,6.641878408,5.826036931,59659.74161,0.245511849,0,0,1063829.787,0,2.46E-07,0.00041152,1.253594229,1.99E-05,0.001586926,3.884084127,1.11026242,90.06879649,0,46.90709542,53.09290458,94.46214009,5.537859907,0,5969885.928,5639282.009,330603.9193,-6.03E-10,0,85.51466989,26.38507731,111.8997472,270.6855364,3.967247032,274.6527834,0.000274653,4.067989689,18.34754736,157.2834827,242.6952137
cost,Y2040,S2,733.3116594,733.3116594,0.042790965,65.00901324,302.111127,155.1120756,16.86609751,1.81E-11,60.7030756,0,25.19216867,1.14513782,0.00011571,30.98898516,12.10347089,431.2005324,59.32343156,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,733.3116594,556.8861275,176.4255319,18.2499945,18.2499945,3027.660483,192.1042129,876.4584475,0,125.7499062,6.641878408,5.826036931,42790.96498,0.161942998,0,0,797872.3404,250000,1.62E-07,0.000378451,0.899135747,1.96E-05,0.002179949,3.848673662,1.101569178,90.77959148,0,41.19818949,58.80181051,93.25445574,6.745544257,0,4282040.456,3993193.522,288846.9341,6.26E-10,0,60.55320966,23.05250555,83.60571522,191.6732891,3.466163209,195.1394523,0.000195139,4.505591653,18.01356045,132.095539,192.7986146
cost,Y2040,S3,618.2609553,618.2609553,0.027308929,65.21813058,209.5383248,96.60198478,14.46099867,0,38.00854319,0,16.79477911,0.917395197,6.86E-05,30.76440548,11.99014977,408.7226305,41.14556321,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,618.2609553,500.643934,117.6170213,12.166663,12.166663,1885.591504,164.7102281,548.7845291,0,124.572548,6.641878408,5.826036931,27308.92939,0.090928767,0,0,531914.8936,500000,9.09E-08,0.000332963,0.573835647,0,0,3.775974233,1.09125552,91.63756622,0,33.89156682,66.10843318,90.94346366,9.056536339,0,2734571.652,2486914.177,247657.4754,0,0,37.71183008,19.76522737,57.47705745,119.3718805,2.971889705,122.3437702,0.000122344,5.393617196,17.67625257,109.285368,147.2939112
cost,Y2050,S1,781.5100843,781.5100843,0.059659832,54.44763615,338.8043322,175.062457,13.51275545,3.56E-12,71.15205462,0,33.58955823,1.372880442,0.000193158,31.66822394,12.44620938,442.705752,66.52861752,235.2340426,0,0,6.05,26.367,10.79,73.40276596,781.5100843,546.2760417,235.2340426,24.333326,24.333326,4141.660261,162.5860599,1184.036204,0,129.3108131,6.641878408,5.826036931,59659.8325,0.336402308,0,0,1063829.787,0,3.36E-07,0.000563867,1.253273684,0.000340439,0.02715657,3.911775476,1.132762723,88.27974119,0,43.35252213,56.64747787,95.71636253,4.283637471,0,5706915.872,5462452.285,244463.5867,1.26E-10,0,82.83320523,19.51032719,102.3435324,262.1977097,2.933563041,265.1312727,0.000265131,3.544267955,17.95221594,140.2983779,211.4504325
