t,s,w
t1,0.138,0.032
t2,0.352,0.042
t3,0.516,0.065
t4,0.553,0.057
t5,0.575,0.042
t6,0.525,0.03
t7,0.408,0.025
t8,0.229,0.03
t9,0.051,0.058
t10,0,0.079
t11,0,0.093
t12,0,0.09
t13,0,0.064
t14,0,0.031
t15,0,0.01
t16,0,0.003
t17,0,0.002
t18,0,0.004
t19,0,0.006
t20,0,0.011
t21,0,0.022
t22,0,0.042
t23,0,0.062
t24,0.001,0.068
t25,0.111,0.056
t26,0.3,0.012
t27,0.453,0.009
t28,0.526,0.019
t29,0.546,0.013
t30,0.499,0.01
t31,0.353,0.012
t32,0.194,0.022
t33,0.042,0.042
t34,0,0.084
t35,0,0.137
t36,0,0.179
t37,0,0.213
t38,0,0.253
t39,0,0.277
t40,0,0.251
t41,0,0.212
t42,0,0.202
t43,0,0.22
t44,0,0.231
t45,0,0.211
t46,0,0.182
t47,0,0.171
t48,0.002,0.185
t49,0.103,0.153
t50,0.275,0.051
t51,0.419,0.047
t52,0.499,0.137
t53,0.474,0.152
t54,0.403,0.089
t55,0.344,0.042
t56,0.222,0.025
t57,0.053,0.006
t58,0,0.001
t59,0,0.001
t60,0,0.002
t61,0,0.001
t62,0,0.001
t63,0,0.003
t64,0,0.008
t65,0,0.028
t66,0,0.067
t67,0,0.134
t68,0,0.235
t69,0,0.355
t70,0,0.448
t71,0,0.55
t72,0.001,0.61
t73,0.091,0.536
t74,0.266,0.395
t75,0.428,0.669
t76,0.525,0.58
t77,0.546,0.437
t78,0.501,0.339
t79,0.387,0.285
t80,0.196,0.252
t81,0.042,0.291
t82,0,0.35
t83,0,0.347
t84,0,0.314
t85,0,0.251
t86,0,0.159
t87,0,0.068
t88,0,0.016
t89,0,0.002
t90,0,0.001
t91,0,0.004
t92,0,0.028
t93,0,0.088
t94,0,0.154
t95,0,0.213
t96,0.005,0.248
t97,0.194,0.192
t98,0.427,0.16
t99,0.587,0.137
t100,0.594,0.056
t101,0.482,0.033
t102,0.236,0.063
t103,0.125,0.111
t104,0.061,0.137
t105,0.011,0.148
t106,0,0.124
t107,0,0.099
t108,0,0.103
t109,0,0.106
t110,0,0.104
t111,0,0.104
t112,0,0.064
t113,0,0.04
t114,0,0.019
t115,0,0.005
t116,0,0.001
t117,0,0
t118,0,0
t119,0,0
t120,0.005,0.003
t121,0.183,0.005
t122,0.405,0
t123,0.56,0.002
t124,0.584,0.014
t125,0.589,0.028
t126,0.507,0.047
t127,0.364,0.058
t128,0.219,0.06
t129,0.062,0.084
t130,0,0.103
t131,0,0.104
t132,0,0.085
t133,0,0.048
t134,0,0.019
t135,0,0.009
t136,0,0.006
t137,0,0.005
t138,0,0.001
t139,0,0
t140,0,0.002
t141,0,0.014
t142,0,0.047
t143,0,0.103
t144,0,0.163
t145,0.045,0.157
t146,0.16,0.065
t147,0.247,0.043
t148,0.282,0.061
t149,0.323,0.073
t150,0.349,0.075
t151,0.3,0.08
t152,0.171,0.119
t153,0.041,0.229
t154,0,0.291
t155,0,0.256
t156,0,0.177
t157,0,0.099
t158,0,0.046
t159,0,0.021
t160,0,0.012
t161,0,0.013
t162,0,0.024
t163,0,0.054
t164,0,0.164
t165,0,0.355
t166,0,0.45
t167,0,0.494
t168,0.006,0.495
t169,0.215,0.346
t170,0.454,0.161
t171,0.562,0.494
t172,0.604,0.477
t173,0.612,0.381
t174,0.58,0.335
t175,0.441,0.312
t176,0.192,0.281
t177,0.038,0.323
t178,0,0.379
t179,0,0.355
t180,0,0.362
t181,0,0.295
t182,0,0.243
t183,0,0.185
t184,0,0.126
t185,0,0.086
t186,0,0.051
t187,0,0.023
t188,0,0.007
t189,0,0.001
t190,0,0
t191,0,0
t192,0.004,0
t193,0.119,0
t194,0.271,0.005
t195,0.331,0.034
t196,0.383,0.034
t197,0.343,0.028
t198,0.239,0.022
t199,0.149,0.023
t200,0.074,0.03
t201,0.016,0.054
t202,0,0.109
t203,0,0.196
t204,0,0.288
t205,0,0.344
t206,0,0.386
t207,0,0.43
t208,0,0.459
t209,0,0.467
t210,0,0.441
t211,0,0.395
t212,0,0.374
t213,0,0.349
t214,0,0.29
t215,0,0.209
t216,0.003,0.147
t217,0.105,0.068
t218,0.309,0.016
t219,0.467,0.008
t220,0.544,0.003
t221,0.559,0
t222,0.485,0
t223,0.36,0
t224,0.199,0.002
t225,0.042,0.017
t226,0,0.028
t227,0,0.053
t228,0,0.118
t229,0,0.234
t230,0,0.319
t231,0,0.305
t232,0,0.249
t233,0,0.211
t234,0,0.204
t235,0,0.184
t236,0,0.169
t237,0,0.146
t238,0,0.135
t239,0,0.14
t240,0.003,0.147
t241,0.101,0.084
t242,0.267,0.004
t243,0.413,0
t244,0.498,0.001
t245,0.513,0.001
t246,0.466,0.001
t247,0.356,0
t248,0.2,0
t249,0.048,0.001
t250,0,0.004
t251,0,0.009
t252,0,0.022
t253,0,0.05
t254,0,0.093
t255,0,0.138
t256,0,0.17
t257,0,0.182
t258,0,0.163
t259,0,0.127
t260,0,0.112
t261,0,0.123
t262,0,0.159
t263,0,0.17
t264,0.004,0.167
t265,0.124,0.151
t266,0.31,0.089
t267,0.475,0.064
t268,0.569,0.106
t269,0.596,0.081
t270,0.559,0.047
t271,0.449,0.028
t272,0.281,0.048
t273,0.079,0.099
t274,0,0.153
t275,0,0.184
t276,0,0.193
t277,0,0.192
t278,0,0.16
t279,0,0.096
t280,0,0.047
t281,0,0.03
t282,0,0.031
t283,0,0.041
t284,0,0.057
t285,0,0.077
t286,0,0.108
t287,0,0.157
t288,0.008,0.203
t289,0.197,0.192
t290,0.424,0.08
t291,0.588,0.068
t292,0.666,0.094
t293,0.684,0.07
t294,0.637,0.065
t295,0.524,0.077
t296,0.339,0.107
t297,0.104,0.179
t298,0,0.239
t299,0,0.239
t300,0,0.167
t301,0,0.087
t302,0,0.048
t303,0,0.031
t304,0,0.02
t305,0,0.013
t306,0,0.007
t307,0,0.006
t308,0,0.008
t309,0,0.003
t310,0,0.017
t311,0,0.022
t312,0.006,0.038
t313,0.142,0.042
t314,0.335,0.01
t315,0.481,0.008
t316,0.545,0.008
t317,0.522,0.011
t318,0.429,0.022
t319,0.253,0.041
t320,0.117,0.086
t321,0.026,0.145
t322,0,0.168
t323,0,0.166
t324,0,0.137
t325,0,0.06
t326,0,0.032
t327,0,0.474
t328,0,0.859
t329,0,0.908
t330,0,0.865
t331,0,0.887
t332,0,0.909
t333,0,0.876
t334,0,0.874
t335,0,0.88
t336,0.022,0.84
t337,0.336,0.839
t338,0.569,0.89
t339,0.714,0.847
t340,0.797,0.76
t341,0.784,0.661
t342,0.565,0.53
t343,0.517,0.355
t344,0.352,0.225
t345,0.095,0.139
t346,0,0.101
t347,0,0.077
t348,0,0.06
t349,0,0.053
t350,0,0.067
t351,0,0.103
t352,0,0.133
t353,0,0.145
t354,0,0.184
t355,0,0.233
t356,0,0.272
t357,0,0.332
t358,0,0.402
t359,0,0.474
t360,0.022,0.527
t361,0.299,0.371
t362,0.534,0.208
t363,0.681,0.2
t364,0.766,0.144
t365,0.776,0.11
t366,0.723,0.079
t367,0.594,0.051
t368,0.396,0.038
t369,0.135,0.087
t370,0,0.198
t371,0,0.348
t372,0,0.494
t373,0,0.587
t374,0,0.605
t375,0,0.557
t376,0,0.46
t377,0,0.344
t378,0,0.248
t379,0,0.179
t380,0,0.15
t381,0,0.144
t382,0,0.124
t383,0,0.109
t384,0.02,0.123
t385,0.298,0.135
t386,0.543,0.094
t387,0.698,0.055
t388,0.774,0.008
t389,0.784,0
t390,0.728,0
t391,0.605,0.001
t392,0.415,0.006
t393,0.148,0.017
t394,0,0.053
t395,0,0.157
t396,0,0.347
t397,0,0.484
t398,0,0.566
t399,0,0.525
t400,0,0.498
t401,0,0.516
t402,0,0.516
t403,0,0.504
t404,0,0.503
t405,0,0.513
t406,0,0.51
t407,0,0.471
t408,0.011,0.401
t409,0.101,0.207
t410,0.21,0.051
t411,0.319,0.011
t412,0.36,0.007
t413,0.357,0.005
t414,0.3,0.004
t415,0.186,0.004
t416,0.089,0.016
t417,0.021,0.036
t418,0,0.045
t419,0,0.041
t420,0,0.03
t421,0,0.019
t422,0,0.019
t423,0,0.029
t424,0,0.042
t425,0,0.04
t426,0,0.031
t427,0,0.08
t428,0,0.2
t429,0,0.426
t430,0,0.599
t431,0,0.582
t432,0.001,0.49
t433,0.058,0.34
t434,0.147,0.353
t435,0.222,0.394
t436,0.281,0.412
t437,0.216,0.379
t438,0.159,0.391
t439,0.164,0.416
t440,0.081,0.359
t441,0.02,0.355
t442,0,0.38
t443,0,0.342
t444,0,0.272
t445,0,0.17
t446,0,0.079
t447,0,0.018
t448,0,0.001
t449,0,0
t450,0,0.001
t451,0,0.012
t452,0,0.066
t453,0,0.169
t454,0,0.287
t455,0,0.404
t456,0.013,0.514
t457,0.247,0.481
t458,0.494,0.328
t459,0.654,0.607
t460,0.718,0.407
t461,0.744,0.253
t462,0.704,0.181
t463,0.594,0.132
t464,0.41,0.074
t465,0.155,0.022
t466,0,0.001
t467,0,0
t468,0,0.034
t469,0,0.235
t470,0,0.505
t471,0,0.622
t472,0,0.623
t473,0,0.594
t474,0,0.575
t475,0,0.589
t476,0,0.608
t477,0,0.639
t478,0,0.644
t479,0,0.628
t480,0.038,0.602
t481,0.348,0.482
t482,0.573,0.257
t483,0.713,0.267
t484,0.784,0.144
t485,0.794,0.103
t486,0.746,0.086
t487,0.633,0.068
t488,0.449,0.039
t489,0.181,0.007
t490,0,0.001
t491,0,0.01
t492,0,0.103
t493,0,0.285
t494,0,0.437
t495,0,0.489
t496,0,0.491
t497,0,0.486
t498,0,0.47
t499,0,0.477
t500,0,0.514
t501,0,0.529
t502,0,0.464
t503,0,0.346
t504,0.032,0.261
t505,0.309,0.201
t506,0.534,0.063
t507,0.677,0.07
t508,0.746,0.035
t509,0.755,0.024
t510,0.704,0.017
t511,0.579,0.004
t512,0.392,0.001
t513,0.14,0.002
t514,0,0.034
t515,0,0.155
t516,0,0.343
t517,0,0.506
t518,0,0.578
t519,0,0.56
t520,0,0.437
t521,0,0.265
t522,0,0.137
t523,0,0.108
t524,0,0.169
t525,0,0.245
t526,0,0.316
t527,0,0.341
t528,0.022,0.315
t529,0.239,0.219
t530,0.46,0.077
t531,0.612,0.041
t532,0.628,0.026
t533,0.643,0.008
t534,0.592,0.002
t535,0.441,0.001
t536,0.261,0.001
t537,0.073,0.004
t538,0,0.017
t539,0,0.041
t540,0,0.061
t541,0,0.055
t542,0,0.042
t543,0,0.037
t544,0,0.035
t545,0,0.035
t546,0,0.036
t547,0,0.038
t548,0,0.045
t549,0,0.055
t550,0,0.067
t551,0,0.077
t552,0.009,0.088
t553,0.125,0.072
t554,0.286,0.025
t555,0.419,0.012
t556,0.452,0.009
t557,0.466,0.005
t558,0.421,0.001
t559,0.329,0
t560,0.144,0
t561,0.032,0.006
t562,0,0.085
t563,0,0.315
t564,0,0.563
t565,0,0.653
t566,0,0.657
t567,0,0.663
t568,0,0.668
t569,0,0.666
t570,0,0.674
t571,0,0.683
t572,0,0.658
t573,0,0.626
t574,0,0.609
t575,0,0.6
t576,0.006,0.583
t577,0.105,0.42
t578,0.271,0.61
t579,0.549,0.59
t580,0.653,0.447
t581,0.707,0.343
t582,0.692,0.3
t583,0.552,0.302
t584,0.366,0.308
t585,0.129,0.343
t586,0,0.371
t587,0,0.343
t588,0,0.277
t589,0,0.18
t590,0,0.084
t591,0,0.018
t592,0,0.002
t593,0,0
t594,0,0
t595,0,0.001
t596,0,0
t597,0,0
t598,0,0
t599,0,0
t600,0.031,0
t601,0.283,0
t602,0.51,0
t603,0.657,0
t604,0.733,0.002
t605,0.746,0.006
t606,0.686,0.017
t607,0.574,0.04
t608,0.386,0.084
t609,0.139,0.199
t610,0,0.381
t611,0,0.537
t612,0,0.651
t613,0,0.711
t614,0,0.71
t615,0,0.688
t616,0,0.671
t617,0,0.668
t618,0,0.659
t619,0,0.629
t620,0,0.58
t621,0,0.532
