Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,921.7909329,921.7909329,0.059659547,69.76997843,469.5149269,120.8047544,185.7306457,-5.62E-12,87.45807472,0,33.58955823,1.372880442,7.65E-05,29.30512731,11.2538096,452.276006,92.19533524,235.2340426,0,0,6.05,26.367,10.79,73.40276596,921.7909329,686.5568904,235.2340426,8.236862288,8.236862288,1764.998342,1849.422777,715.563558,0,116.9222873,5.925476981,3.907046197,59659.54657,0.050470672,0,0,1063829.787,0,5.05E-08,8.46E-05,1.253611465,2.66E-06,0.00021202,2.052118387,1.024239237,97.63343991,0,50.93507759,49.06492241,38.62261703,61.37738297,0,6755902.835,2609306.479,4146596.356,-1.68E-10,0,35.29996684,221.9307332,257.2307001,125.246711,49.75915628,175.0058673,0.000175006,4.336108909,18.57603612,171.2322167,258.6902914
cost,YCurrent,S2,778.1312568,778.1312568,0.042790848,69.75663788,349.6652119,86.60706825,133.4191023,0,62.7263552,0,25.19216867,1.14513782,6.86E-05,29.31601009,11.25930096,428.466045,68.66129187,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,778.1312568,601.7057249,176.4255319,6.177646716,6.177646716,1265.358575,1328.527802,513.2138347,0,116.9793403,5.925476981,3.907046197,42790.84789,0.04485101,0,0,797872.3404,250000,4.49E-08,0.000104814,0.899155349,0,0,2.05202009,1.024739021,97.58582231,0,44.93653337,55.06346663,38.5754052,61.4245948,0,4849354.205,1870658.034,2978696.171,0,0,25.30717151,159.4233363,184.7305078,89.79158564,35.74435405,125.5359397,0.000125536,4.785120004,18.25308851,142.032987,204.7593422
cost,YCurrent,S3,645.4345631,645.4345631,0.027308865,69.74680014,238.9790892,55.22291097,85.37218405,5.17E-12,40.06120929,0,16.79477911,0.917395197,4.52E-05,29.33944127,11.27112415,406.4554739,46.92663851,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,645.4345631,527.8175419,117.6170213,4.118431144,4.118431144,806.8254169,850.0980604,327.7723818,0,117.1021781,5.925476981,3.907046197,27308.86516,0.026695677,0,0,531914.8936,500000,2.67E-08,9.78E-05,0.573835647,0,0,2.053538498,1.025815081,97.48345671,0,37.02607559,62.97392441,38.4918313,61.5081687,0,3098787.448,1192780.037,1906007.411,1.55E-10,0,16.13650834,102.0117672,118.1482756,57.25344177,22.87208894,80.12553071,8.01E-05,5.704027125,17.9273477,115.7092983,155.7705076
cost,Y2030,S1,825.3839213,825.3839213,0.059659555,58.53018993,388.9315121,103.4388131,153.8398401,0,56.08951096,0,33.58955823,1.372880442,8.38E-05,29.33296781,11.26785769,436.4524091,76.37173835,235.2340426,0,0,6.05,26.367,10.79,73.40276596,825.3839213,590.1498787,235.2340426,8.236862288,8.236862288,1807.077429,1665.294627,715.1884242,0,117.068241,5.925476981,3.907046197,59659.55486,0.058761372,0,0,1063829.787,0,5.88E-08,9.85E-05,1.252418687,0.001195436,0.095359131,2.142255503,1.025517791,97.51171636,0,47.12128527,52.87871473,41.70802816,58.29197184,0,6405276.682,2671514.602,3733762.08,0,0,36.14154858,199.8353553,235.9769039,128.2327009,44.80514496,173.0378458,0.000173038,3.488159367,18.4171899,152.0125242,208.1020351
cost,Y2030,S2,708.9712479,708.9712479,0.042790844,58.52404014,291.8566605,74.16752207,110.5025441,0,40.23040775,0,25.19216867,1.14513782,6.42E-05,29.3449248,11.27389109,417.1145874,57.3098343,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,708.9712479,532.545716,176.4255319,6.177646716,6.177646716,1295.707588,1196.174495,512.971524,0,117.1309255,5.925476981,3.907046197,42790.84391,0.040869936,0,0,797872.3404,250000,4.09E-08,9.55E-05,0.899155349,0,0,2.142265062,1.026066907,97.45953141,0,41.16621956,58.83378044,41.66474879,58.33525121,0,4597471.285,1915524.861,2681946.424,0,0,25.91415176,143.5409394,169.4550912,91.94519335,32.18335708,124.1285504,0.000124129,3.93688098,18.08705955,128.2320518,168.4624595
cost,Y2030,S3,601.278874,601.278874,0.027308866,58.53654191,202.0708172,47.2742295,70.70679784,3.38E-13,25.7245405,0,16.79477911,0.917395197,4.13E-05,29.36766709,11.28536667,399.2080568,39.67922141,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,601.278874,483.6618528,117.6170213,4.118431144,4.118431144,825.8814124,765.3911399,328.0095203,0,117.2501519,5.925476981,3.907046197,27308.86572,0.027261653,0,0,531914.8936,500000,2.73E-08,9.98E-05,0.573835647,0,0,2.146414464,1.027111331,97.3604292,0,33.60683802,66.39316198,41.57085874,58.42914126,0,2937037.468,1220951.697,1716085.771,1.12E-11,0,16.51762825,91.84693679,108.364565,58.60568144,20.59302925,79.19871069,7.92E-05,4.851872069,17.7579135,106.7745823,132.4991228
cost,Y2040,S1,778.5738904,778.5738904,0.059659557,53.84574075,349.8045641,93.71763824,132.6662906,0,47.81820654,0,33.58955823,1.372880442,8.16E-05,29.35894351,11.28096483,428.7693263,68.68865548,235.2340426,0,0,6.05,26.367,10.79,73.40276596,778.5738904,543.3398478,235.2340426,8.236862288,8.236862288,1829.291425,1511.064034,690.4208831,0,117.2044186,5.925476981,3.907046197,59659.55695,0.060851773,0,0,1063829.787,0,6.09E-08,0.000101998,1.253611701,2.42E-06,0.000193206,2.174531645,1.026710707,97.39841937,0,44.92888452,55.07111548,44.38960275,55.61039725,0,6092316.135,2704354.93,3387961.205,0,0,36.58582851,181.3276841,217.9135126,129.8090366,40.65553445,170.4645711,0.000170465,3.157854342,18.05583082,140.5779844,188.396191
cost,Y2040,S2,675.3981505,675.3981505,0.042790845,53.83771194,263.794025,67.2182757,95.29132691,0,34.2884318,0,25.19216867,1.14513782,5.98E-05,29.37138273,11.28724155,411.6041256,51.79937245,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,675.3981505,498.9726186,176.4255319,6.177646716,6.177646716,1312.045605,1085.36461,495.0718791,0,117.2696311,5.925476981,3.907046197,42790.84511,0.042076124,0,0,797872.3404,250000,4.21E-08,9.83E-05,0.899155349,0,0,2.1739484,1.027281969,97.34425704,0,39.05755809,60.94244191,44.35398093,55.64601907,0,4373177.614,1939678.365,2433499.249,0,0,26.2409121,130.2437533,156.4846654,93.10456151,29.20199099,122.3065525,0.000122307,3.598462924,17.72181901,119.6928378,153.9812696
cost,Y2040,S3,579.8528605,579.8528605,0.027308867,53.82900009,184.1615251,42.82824399,61.05248068,-1.43E-12,21.87693395,0,16.79477911,0.917395197,4.73E-05,29.39332928,11.29831561,395.6913354,36.1625,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,579.8528605,462.2358392,117.6170213,4.118431144,4.118431144,835.9721922,695.3854465,315.8690622,0,117.3846859,5.925476981,3.907046197,27308.86737,0.028909924,0,0,531914.8936,500000,2.89E-08,0.000105863,0.573835647,0,0,2.173377866,1.028289848,97.24884494,0,31.76004425,68.23995575,44.21723049,55.78276951,0,2794995.318,1235869.522,1559125.796,-4.94E-11,0,16.71944384,83.44625359,100.1656974,59.32173705,18.70950955,78.03124661,7.80E-05,4.492371409,17.38452078,100.804641,122.681575
cost,Y2050,S1,726.8202066,726.8202066,0.059659568,48.05798785,306.545381,107.1383052,74.00035681,0,49.57875126,0,33.58955823,1.372880442,8.82E-05,29.50883971,11.35660126,420.2748256,60.19415476,235.2340426,0,0,6.05,26.367,10.79,73.40276596,726.8202066,491.5861641,235.2340426,8.236862288,8.236862288,2534.698008,890.3755041,825.0364206,0,117.9902489,5.925476981,3.907046197,59659.5677,0.071604823,0,0,1063829.787,0,7.16E-08,0.000120022,1.253589925,2.42E-05,0.001930209,2.725737228,1.03359458,96.74973332,0,42.17623262,57.82376738,65.24230098,34.75769902,0,5743514.805,3747201.216,1996313.589,0,0,50.69396015,106.8450605,157.5390206,179.8656584,23.95576307,203.8214214,0.000203821,3.00731215,17.86359135,129.8361916,179.4149428
