t,s,w
t1,0.345,0.151
t2,0.553,0.168
t3,0.681,0.153
t4,0.69,0.167
t5,0.69,0.188
t6,0.622,0.219
t7,0.484,0.253
t8,0.277,0.274
t9,0.056,0.302
t10,0,0.346
t11,0,0.35
t12,0,0.328
t13,0,0.304
t14,0,0.295
t15,0,0.325
t16,0,0.35
t17,0,0.35
t18,0,0.37
t19,0,0.376
t20,0,0.391
t21,0,0.41
t22,0,0.404
t23,0,0.388
t24,0.038,0.32
t25,0.172,0.167
t26,0.349,0.178
t27,0.466,0.105
t28,0.492,0.049
t29,0.515,0.026
t30,0.438,0.022
t31,0.253,0.03
t32,0.126,0.064
t33,0.021,0.147
t34,0,0.249
t35,0,0.289
t36,0,0.259
t37,0,0.201
t38,0,0.146
t39,0,0.11
t40,0,0.097
t41,0,0.101
t42,0,0.103
t43,0,0.108
t44,0,0.128
t45,0,0.159
t46,0,0.194
t47,0,0.212
t48,0.028,0.219
t49,0.135,0.161
t50,0.267,0.121
t51,0.376,0.1
t52,0.435,0.079
t53,0.458,0.075
t54,0.385,0.075
t55,0.236,0.074
t56,0.105,0.084
t57,0.015,0.127
t58,0,0.271
t59,0,0.451
t60,0,0.538
t61,0,0.551
t62,0,0.557
t63,0,0.557
t64,0,0.532
t65,0,0.51
t66,0,0.491
t67,0,0.462
t68,0,0.419
t69,0,0.388
t70,0,0.381
t71,0,0.323
t72,0.016,0.231
t73,0.081,0.127
t74,0.161,0.098
t75,0.201,0.108
t76,0.233,0.067
t77,0.148,0.024
t78,0.084,0.002
t79,0.066,0
t80,0.028,0
t81,0.002,0.012
t82,0,0.051
t83,0,0.073
t84,0,0.092
t85,0,0.112
t86,0,0.13
t87,0,0.168
t88,0,0.202
t89,0,0.227
t90,0,0.272
t91,0,0.286
t92,0,0.3
t93,0,0.358
t94,0,0.379
t95,0,0.378
t96,0.004,0.374
t97,0.039,0.349
t98,0.093,0.391
t99,0.104,0.381
t100,0.114,0.325
t101,0.1,0.279
t102,0.1,0.251
t103,0.066,0.228
t104,0.028,0.183
t105,0.002,0.175
t106,0,0.202
t107,0,0.203
t108,0,0.192
t109,0,0.168
t110,0,0.14
t111,0,0.136
t112,0,0.165
t113,0,0.201
t114,0,0.218
t115,0,0.237
t116,0,0.251
t117,0,0.207
t118,0,0.091
t119,0,0.029
t120,0.015,0.03
t121,0.105,0.025
t122,0.245,0.022
t123,0.3,0.017
t124,0.407,0.008
t125,0.384,0.001
t126,0.314,0
t127,0.141,0
t128,0.068,0
t129,0.017,0.005
t130,0,0.054
t131,0,0.141
t132,0,0.208
t133,0,0.253
t134,0,0.244
t135,0,0.213
t136,0,0.204
t137,0,0.199
t138,0,0.207
t139,0,0.25
t140,0,0.309
t141,0,0.355
t142,0,0.388
t143,0,0.41
t144,0.068,0.4
t145,0.268,0.285
t146,0.447,0.278
t147,0.527,0.216
t148,0.513,0.104
t149,0.385,0.058
t150,0.276,0.071
t151,0.148,0.131
t152,0.049,0.249
t153,0.008,0.337
t154,0,0.339
t155,0,0.303
t156,0,0.27
t157,0,0.254
t158,0,0.252
t159,0,0.251
t160,0,0.274
t161,0,0.315
t162,0,0.365
t163,0,0.395
t164,0,0.399
t165,0,0.367
t166,0,0.356
t167,0,0.383
t168,0.051,0.341
t169,0.204,0.213
t170,0.369,0.231
t171,0.485,0.31
t172,0.477,0.325
t173,0.372,0.325
t174,0.303,0.341
t175,0.19,0.396
t176,0.134,0.447
t177,0.026,0.484
t178,0,0.525
t179,0,0.484
t180,0,0.413
t181,0,0.389
t182,0,0.383
t183,0,0.374
t184,0,0.372
t185,0,0.358
t186,0,0.316
t187,0,0.291
t188,0,0.277
t189,0,0.251
t190,0,0.264
t191,0,0.299
t192,0.013,0.272
t193,0.063,0.223
t194,0.118,0.265
t195,0.158,0.227
t196,0.171,0.158
t197,0.162,0.128
t198,0.134,0.124
t199,0.083,0.133
t200,0.037,0.137
t201,0.004,0.141
t202,0,0.163
t203,0,0.159
t204,0,0.136
t205,0,0.116
t206,0,0.089
t207,0,0.074
t208,0,0.069
t209,0,0.094
t210,0,0.142
t211,0,0.178
t212,0,0.187
t213,0,0.201
t214,0,0.201
t215,0,0.185
t216,0.017,0.144
t217,0.088,0.068
t218,0.17,0.022
t219,0.25,0.005
t220,0.243,0.001
t221,0.209,0
t222,0.178,0.001
t223,0.132,0.005
t224,0.064,0.012
t225,0.01,0.041
t226,0,0.102
t227,0,0.177
t228,0,0.179
t229,0,0.144
t230,0,0.141
t231,0,0.122
t232,0,0.118
t233,0,0.112
t234,0,0.133
t235,0,0.148
t236,0,0.104
t237,0,0.102
t238,0,0.135
t239,0,0.145
t240,0.01,0.13
t241,0.078,0.107
t242,0.211,0.094
t243,0.271,0.057
t244,0.235,0.015
t245,0.117,0
t246,0.08,0
t247,0.108,0.001
t248,0.066,0.003
t249,0.017,0.017
t250,0,0.037
t251,0,0.033
t252,0,0.04
t253,0,0.036
t254,0,0.05
t255,0,0.061
t256,0,0.069
t257,0,0.102
t258,0,0.16
t259,0,0.228
t260,0,0.283
t261,0,0.29
t262,0,0.243
t263,0,0.21
t264,0.012,0.2
t265,0.069,0.186
t266,0.26,0.188
t267,0.6,0.196
t268,0.68,0.176
t269,0.674,0.177
t270,0.589,0.202
t271,0.453,0.23
t272,0.244,0.223
t273,0.049,0.203
t274,0,0.211
t275,0,0.184
t276,0,0.124
t277,0,0.06
t278,0,0.021
t279,0,0.004
t280,0,0.005
t281,0,0.029
t282,0,0.049
t283,0,0.082
t284,0,0.107
t285,0,0.106
t286,0,0.086
t287,0,0.073
t288,0.033,0.042
t289,0.142,0.026
t290,0.437,0.03
t291,0.614,0.018
t292,0.632,0.011
