Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,894.3831627,894.3831627,0.059659512,65.5270858,446.6056833,54.57260258,231.2767441,0,85.62060585,0,33.58955823,1.372880442,4.40E-05,29.04878619,11.12446191,447.7774794,87.69680863,235.2340426,0,0,6.05,26.367,10.79,73.40276596,894.3831627,659.1491202,235.2340426,8.236862288,8.236862288,797.3241913,2302.950472,700.5297744,0,115.5784199,6.27447385,3.558653805,59659.5121,0.016009519,0,0,1063829.787,0,1.60E-08,2.68E-05,1.253302797,0.000311325,0.02483423,2.009005134,1.012466958,98.76865528,0,49.93449138,50.06550862,16.41330133,83.58669867,0,6782125.013,1113170.615,5668954.398,0,0,15.94648383,276.3540567,292.3005405,53.43218953,68.02745277,121.4596423,0.00012146,4.211117815,18.51696625,165.6126284,251.2332343
cost,YCurrent,S2,758.3171899,758.3171899,0.042790815,65.5222116,333.1032922,39.16720975,165.9892323,0,61.43078578,0,25.19216867,1.14513782,3.68E-05,29.05242378,11.12629741,425.2138976,65.4091445,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,758.3171899,581.8916579,176.4255319,6.177646716,6.177646716,572.2461887,1652.846603,502.6137585,0,115.59749,6.27447385,3.558653805,42790.81473,0.011693726,0,0,797872.3404,250000,1.17E-08,2.73E-05,0.899029985,0.000125364,0.013942396,2.009638594,1.012634012,98.75236146,0,43.92664398,56.07335602,16.41330185,83.58669815,0,4867587.251,798931.7882,4068655.462,0,0,11.44492377,198.3415924,209.7865161,38.34872583,48.82386555,87.17259138,8.72E-05,4.660526238,18.19778463,137.996929,199.4277148
cost,YCurrent,S3,632.5740055,632.5740055,0.027308849,65.50250936,228.2293768,24.97021226,106.1364266,0,39.22002205,0,16.79477911,0.917395197,3.30E-05,29.06025806,11.13025052,404.3446287,44.81579328,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,632.5740055,514.9569842,117.6170213,4.118431144,4.118431144,364.8232511,1056.859109,320.8899648,0,115.6385611,6.27447385,3.558653805,27308.84927,0.010809391,0,0,531914.8936,500000,1.08E-08,3.96E-05,0.573750753,8.49E-05,0.014794221,2.010420391,1.012993796,98.71728774,0,36.07947447,63.92052553,16.37275084,83.62724916,0,3110911.447,509341.78,2601569.667,0,0,7.296465022,126.8230931,134.1195581,24.44840544,31.218836,55.66724144,5.57E-05,5.575929117,17.87177228,113.0521858,152.2722078
cost,Y2030,S1,807.592242,807.592242,0.059659518,56.12833366,374.0600391,62.46478839,181.9226423,0,54.52029987,0,33.58955823,1.372880442,6.83E-05,29.05978817,11.13001342,433.5322029,73.45153207,235.2340426,0,0,6.05,26.367,10.79,73.40276596,807.592242,572.3581995,235.2340426,8.236862288,8.236862288,1091.260676,1969.287011,695.1796634,0,115.6360978,6.27447385,3.558653805,59659.5182,0.022109595,0,0,1063829.787,0,2.21E-08,3.71E-05,1.252952908,0.000661214,0.052744635,2.082323097,1.012972216,98.7193907,0,46.31793369,53.68206631,23.91318071,76.08681929,0,6371151.796,1523545.042,4847606.754,0,0,21.82521353,236.3144414,258.1396549,73.13016201,58.17128104,131.3014431,0.000131301,3.417694716,18.49667598,149.3777202,203.8980201
cost,Y2030,S2,696.049433,696.049433,0.042790818,56.12500259,281.0557452,44.83275563,130.5710224,0,39.11802977,0,25.19216867,1.14513782,4.80E-05,29.06429525,11.13228766,414.9936878,55.18893472,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,696.049433,519.6239011,176.4255319,6.177646716,6.177646716,783.2288318,1413.412949,498.7877696,0,115.6597261,6.27447385,3.558653805,42790.81843,0.015387442,0,0,797872.3404,250000,1.54E-08,3.60E-05,0.898333523,0.000821825,0.091399684,2.08303229,1.013179201,98.69922312,0,40.37870471,59.62129529,23.91318536,76.08681464,0,4572756.002,1093491.619,3479264.383,0,0,15.66457664,169.6095539,185.2741306,52.4875977,41.7511726,94.2387703,9.42E-05,3.868860529,18.1644683,126.4336786,165.5517084
cost,Y2030,S3,592.8132141,592.8132141,0.02730885,56.10994513,194.9946536,28.5813624,83.52036907,0,24.9713839,0,16.79477911,0.917395197,4.03E-05,29.07276315,11.13656049,397.8185605,38.28972506,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,592.8132141,475.1961928,117.6170213,4.118431144,4.118431144,499.3167779,904.0962459,318.4061404,0,115.7041191,6.27447385,3.558653805,27308.85035,0.011885169,0,0,531914.8936,500000,1.19E-08,4.35E-05,0.573522665,0.000312983,0.054542223,2.083573457,1.013568083,98.66135455,0,32.89310174,67.10689826,23.85215144,76.14784856,0,2922640.47,697112.6311,2225527.839,0,0,9.986335558,108.4915495,118.4778851,33.46140629,26.70633407,60.16774036,6.02E-05,4.784024382,17.82598962,105.674822,130.6462059
cost,Y2040,S1,764.776259,764.776259,0.05965952,52.13895548,338.2715829,67.96378561,149.260159,0,45.87592411,0,33.58955823,1.372880442,6.07E-05,29.07269076,11.13652396,426.5046761,66.42400529,235.2340426,0,0,6.05,26.367,10.79,73.40276596,764.776259,529.5422164,235.2340426,8.236862288,8.236862288,1326.597347,1700.067568,662.3773313,0,115.7037396,6.27447385,3.558653805,59659.51972,0.02362729,0,0,1063829.787,0,2.36E-08,3.96E-05,1.253263051,0.000351072,0.028004752,2.086207706,1.013564759,98.66167815,0,44.23144402,55.76855598,30.6792443,69.3207557,0,6037001.159,1852106.334,4184894.825,0,0,26.53194694,204.0081081,230.5400551,88.90110402,50.2187379,139.1198419,0.00013912,3.100283485,18.18643008,139.0854996,184.9614237
cost,Y2040,S2,665.3362238,665.3362238,0.04279082,52.13740005,255.3835951,48.75912757,107.1487075,0,32.92152866,0,25.19216867,1.14513782,5.47E-05,29.07777881,11.13909135,409.9526287,50.14787564,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,665.3362238,488.9106919,176.4255319,6.177646716,6.177646716,951.7381749,1220.419727,475.3359136,0,115.7304136,6.27447385,3.558653805,42790.82034,0.017304454,0,0,797872.3404,250000,1.73E-08,4.04E-05,0.89890412,0.000251228,0.027940469,2.087285484,1.013798423,98.63893816,0,38.38414112,61.61585888,30.66628505,69.33371495,0,4332944.376,1328753.073,3004191.303,0,0,19.0347635,146.4503673,165.4851308,63.78014752,36.05029563,99.83044315,9.98E-05,3.54468655,17.84939891,118.7585167,151.6800453
cost,Y2040,S3,573.2086249,573.2086249,0.027308852,52.12180688,178.6078295,31.06370043,68.59049376,6.97E-12,21.01041126,0,16.79477911,0.917395197,3.98E-05,29.08717659,11.1438334,394.6007954,35.07195997,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,573.2086249,455.5916036,117.6170213,4.118431144,4.118431144,606.337952,781.2431305,303.3578159,0,115.7796815,6.27447385,3.558653805,27308.85199,0.013529067,0,0,531914.8936,500000,1.35E-08,4.95E-05,0.573656064,0.000179583,0.031295278,2.087293796,1.01423001,98.59696424,0,31.15930601,68.84069399,30.56456058,69.43543942,0,2769640.42,846528.424,1923111.996,2.41E-10,0,12.12675904,93.74917566,105.8759347,40.63336435,23.07734396,63.71070831,6.37E-05,4.443787529,17.50572485,100.3443247,121.3547359
cost,Y2050,S1,719.0713969,719.0713969,0.059659522,46.77934784,300.0684087,70.13040323,115.9571267,0,38.77778315,0,33.58955823,1.372880442,7.07E-05,29.09354124,11.14704495,419.0029882,58.92231738,235.2340426,0,0,6.05,26.367,10.79,73.40276596,719.0713969,483.8373543,235.2340426,8.236862288,8.236862288,1659.158161,1395.201181,645.29829,0,115.8130481,6.27447385,3.558653805,59659.52213,0.026032511,0,0,1063829.787,0,2.60E-08,4.36E-05,1.252597367,0.001016755,0.081105936,2.131923963,1.014522301,98.5685577,0,41.72998815,58.27001185,40.27943042,59.72056958,0,5750839.662,2316405.46,3434434.202,0,0,33.18316321,167.4241417,200.6073049,111.1874621,41.21321042,152.4006725,0.000152401,2.800944143,17.84596168,128.325206,167.1029891
