t,s,w
t1,0.187,0.436
t2,0.475,0.413
t3,0.673,0.463
t4,0.774,0.457
t5,0.798,0.449
t6,0.75,0.42
t7,0.628,0.358
t8,0.417,0.282
t9,0.123,0.211
t10,0,0.194
t11,0,0.193
t12,0,0.184
t13,0,0.17
t14,0,0.164
t15,0,0.157
t16,0,0.145
t17,0,0.129
t18,0,0.108
t19,0,0.089
t20,0,0.068
t21,0,0.052
t22,0,0.045
t23,0,0.043
t24,0,0.042
t25,0.184,0.038
t26,0.441,0.011
t27,0.589,0.001
t28,0.634,0.003
t29,0.566,0.003
t30,0.46,0.003
t31,0.298,0.002
t32,0.112,0
t33,0.015,0.001
t34,0,0.011
t35,0,0.039
t36,0,0.071
t37,0,0.097
t38,0,0.121
t39,0,0.138
t40,0,0.142
t41,0,0.124
t42,0,0.1
t43,0,0.069
t44,0,0.04
t45,0,0.022
t46,0,0.009
t47,0,0.002
t48,0,0.001
t49,0.077,0.012
t50,0.233,0.029
t51,0.404,0.083
t52,0.531,0.161
t53,0.593,0.193
t54,0.586,0.244
t55,0.514,0.301
t56,0.326,0.322
t57,0.081,0.282
t58,0,0.294
t59,0,0.36
t60,0,0.407
t61,0,0.432
t62,0,0.442
t63,0,0.433
t64,0,0.442
t65,0,0.459
t66,0,0.513
t67,0,0.53
t68,0,0.53
t69,0,0.525
t70,0,0.528
t71,0,0.555
t72,0,0.571
t73,0.279,0.506
t74,0.55,0.682
t75,0.717,0.714
t76,0.799,0.692
t77,0.814,0.697
t78,0.761,0.7
t79,0.634,0.698
t80,0.423,0.682
t81,0.123,0.59
t82,0,0.568
t83,0,0.602
t84,0,0.626
t85,0,0.637
t86,0,0.625
t87,0,0.629
t88,0,0.603
t89,0,0.56
t90,0,0.503
t91,0,0.468
t92,0,0.43
t93,0,0.398
t94,0,0.375
t95,0,0.325
t96,0,0.278
t97,0.121,0.195
t98,0.237,0.069
t99,0.485,0.023
t100,0.613,0.003
t101,0.49,0.001
t102,0.336,0.001
t103,0.231,0.003
t104,0.104,0.006
t105,0.017,0.004
t106,0,0
t107,0,0
t108,0,0.001
t109,0,0.021
t110,0,0.07
t111,0,0.101
t112,0,0.093
t113,0,0.062
t114,0,0.046
t115,0,0.037
t116,0,0.024
t117,0,0.015
t118,0,0.008
t119,0,0.005
t120,0,0.004
t121,0.123,0.005
t122,0.358,0.005
t123,0.534,0.023
t124,0.613,0.082
t125,0.637,0.137
t126,0.59,0.184
t127,0.466,0.212
t128,0.291,0.182
t129,0.073,0.153
t130,0,0.218
t131,0,0.329
t132,0,0.451
t133,0,0.533
t134,0,0.571
t135,0,0.59
t136,0,0.586
t137,0,0.59
t138,0,0.596
t139,0,0.606
t140,0,0.601
t141,0,0.574
t142,0,0.553
t143,0,0.547
t144,0,0.547
t145,0.187,0.481
t146,0.443,0.657
t147,0.581,0.748
t148,0.603,0.748
t149,0.576,0.742
t150,0.536,0.736
t151,0.435,0.724
t152,0.281,0.705
t153,0.104,0.631
t154,0,0.612
t155,0,0.583
t156,0,0.59
t157,0,0.61
t158,0,0.63
t159,0,0.642
t160,0,0.655
t161,0,0.655
t162,0,0.653
t163,0,0.651
t164,0,0.648
t165,0,0.636
t166,0,0.605
t167,0,0.568
t168,0.002,0.534
t169,0.317,0.398
t170,0.582,0.419
t171,0.745,0.528
t172,0.829,0.462
t173,0.842,0.352
t174,0.79,0.254
t175,0.667,0.192
t176,0.461,0.152
t177,0.155,0.143
t178,0,0.099
t179,0,0.058
t180,0,0.028
t181,0,0.008
t182,0,0.003
t183,0,0.004
t184,0,0.005
t185,0,0.005
t186,0,0.003
t187,0,0.003
t188,0,0.004
t189,0,0.006
t190,0,0.011
t191,0,0.022
t192,0.001,0.031
t193,0.176,0.034
t194,0.32,0.013
t195,0.468,0.023
t196,0.595,0.079
t197,0.618,0.145
t198,0.553,0.146
t199,0.393,0.109
t200,0.216,0.055
t201,0.047,0.013
t202,0,0.005
t203,0,0.011
t204,0,0.027
t205,0,0.047
t206,0,0.079
t207,0,0.124
t208,0,0.18
t209,0,0.249
t210,0,0.33
t211,0,0.409
t212,0,0.454
t213,0,0.464
t214,0,0.449
t215,0,0.438
t216,0.001,0.432
t217,0.223,0.339
t218,0.466,0.159
t219,0.666,0.135
t220,0.752,0.302
t221,0.762,0.313
t222,0.706,0.251
t223,0.58,0.179
t224,0.374,0.094
t225,0.099,0.037
t226,0,0.02
t227,0,0.017
t228,0,0.015
t229,0,0.015
t230,0,0.02
t231,0,0.027
t232,0,0.04
t233,0,0.047
t234,0,0.043
t235,0,0.035
t236,0,0.028
t237,0,0.025
t238,0,0.026
t239,0,0.029
t240,0,0.028
t241,0.049,0.019
t242,0.149,0.005
t243,0.277,0.001
t244,0.407,0.005
t245,0.551,0.009
t246,0.591,0.012
t247,0.495,0.014
t248,0.302,0.015
t249,0.071,0.017
t250,0,0.022
t251,0,0.037
t252,0,0.056
t253,0,0.068
t254,0,0.076
t255,0,0.095
t256,0,0.118
t257,0,0.128
t258,0,0.12
t259,0,0.107
t260,0,0.122
t261,0,0.197
t262,0,0.249
t263,0,0.224
t264,0,0.21
t265,0.141,0.179
t266,0.466,0.099
t267,0.634,0.199
t268,0.718,0.385
t269,0.738,0.483
t270,0.691,0.519
t271,0.574,0.538
t272,0.38,0.473
t273,0.114,0.344
t274,0,0.332
t275,0,0.394
t276,0,0.46
t277,0,0.504
t278,0,0.526
t279,0,0.53
t280,0,0.56
t281,0,0.591
t282,0,0.603
t283,0,0.604
t284,0,0.601
t285,0,0.587
t286,0,0.558
t287,0,0.528
t288,0.005,0.501
t289,0.315,0.361
t290,0.565,0.184
t291,0.719,0.184
t292,0.791,0.288
t293,0.798,0.301
t294,0.743,0.228
t295,0.62,0.147
t296,0.417,0.066
t297,0.129,0.005
t298,0,0
t299,0,0
t300,0,0
t301,0,0.002
t302,0,0.007
t303,0,0.015
t304,0,0.027
t305,0,0.038
t306,0,0.054
t307,0,0.08
t308,0,0.108
t309,0,0.124
t310,0,0.139
t311,0,0.17
t312,0.003,0.225
t313,0.248,0.245
t314,0.498,0.109
t315,0.656,0.138
t316,0.726,0.352
t317,0.742,0.562
t318,0.68,0.746
t319,0.53,0.866
t320,0.33,0.917
t321,0.089,0.927
t322,0,0.94
t323,0,0.968
t324,0,0.983
t325,0,0.985
t326,0,0.986
t327,0,0.984
t328,0,0.984
t329,0,0.98
t330,0,0.973
t331,0,0.966
t332,0,0.959
t333,0,0.947
t334,0,0.927
t335,0,0.896
t336,0.009,0.862
t337,0.359,0.851
t338,0.616,0.896
t339,0.777,0.883
t340,0.859,0.848
t341,0.872,0.819
t342,0.817,0.8
t343,0.691,0.804
t344,0.481,0.794
t345,0.171,0.712
t346,0,0.61
t347,0,0.526
t348,0,0.442
t349,0,0.382
t350,0,0.372
t351,0,0.383
t352,0,0.432
t353,0,0.465
t354,0,0.467
t355,0,0.47
t356,0,0.476
t357,0,0.484
t358,0,0.465
t359,0,0.454
t360,0.009,0.445
t361,0.345,0.324
t362,0.599,0.218
t363,0.753,0.304
t364,0.827,0.461
t365,0.833,0.532
t366,0.778,0.532
t367,0.655,0.501
t368,0.453,0.421
t369,0.159,0.296
t370,0,0.264
t371,0,0.278
t372,0,0.334
t373,0,0.402
t374,0,0.469
t375,0,0.508
t376,0,0.523
t377,0,0.525
t378,0,0.516
t379,0,0.504
t380,0,0.494
t381,0,0.471
t382,0,0.45
t383,0,0.437
t384,0.01,0.432
t385,0.337,0.316
t386,0.586,0.155
t387,0.741,0.146
t388,0.815,0.162
t389,0.823,0.162
t390,0.768,0.146
t391,0.636,0.133
t392,0.376,0.115
t393,0.059,0.111
t394,0,0.113
t395,0,0.099
t396,0,0.102
t397,0,0.114
t398,0,0.122
t399,0,0.101
t400,0,0.111
t401,0,0.153
t402,0,0.207
t403,0,0.259
t404,0,0.303
t405,0,0.302
t406,0,0.264
t407,0,0.251
t408,0.004,0.265
t409,0.121,0.225
t410,0.271,0.13
t411,0.412,0.238
t412,0.504,0.37
t413,0.474,0.415
t414,0.431,0.434
t415,0.342,0.442
t416,0.208,0.434
t417,0.061,0.451
t418,0,0.498
t419,0,0.506
t420,0,0.439
t421,0,0.394
t422,0,0.388
t423,0,0.395
t424,0,0.423
t425,0,0.42
t426,0,0.399
t427,0,0.395
t428,0,0.395
t429,0,0.382
t430,0,0.352
t431,0,0.325
t432,0,0.313
t433,0.091,0.223
t434,0.192,0.24
t435,0.289,0.325
t436,0.452,0.289
t437,0.481,0.254
t438,0.43,0.289
t439,0.287,0.361
t440,0.155,0.435
t441,0.038,0.473
t442,0,0.51
t443,0,0.516
t444,0,0.537
t445,0,0.6
t446,0,0.647
t447,0,0.678
t448,0,0.646
t449,0,0.599
t450,0,0.596
t451,0,0.599
t452,0,0.59
t453,0,0.571
t454,0,0.587
t455,0,0.601
t456,0.011,0.62
t457,0.338,0.566
t458,0.589,0.781
t459,0.741,0.877
t460,0.821,0.863
t461,0.829,0.845
t462,0.774,0.838
t463,0.653,0.84
t464,0.453,0.834
t465,0.165,0.798
t466,0,0.812
t467,0,0.819
t468,0,0.819
t469,0,0.823
t470,0,0.802
t471,0,0.763
t472,0,0.744
t473,0,0.732
t474,0,0.701
t475,0,0.691
t476,0,0.682
t477,0,0.672
t478,0,0.657
t479,0,0.642
t480,0.015,0.623
t481,0.338,0.488
t482,0.58,0.398
t483,0.73,0.6
t484,0.801,0.699
t485,0.811,0.679
t486,0.759,0.612
t487,0.641,0.535
t488,0.445,0.435
t489,0.162,0.402
t490,0,0.512
t491,0,0.614
t492,0,0.673
t493,0,0.696
t494,0,0.695
t495,0,0.679
t496,0,0.681
t497,0,0.678
t498,0,0.67
t499,0,0.66
t500,0,0.652
t501,0,0.641
t502,0,0.627
t503,0,0.615
t504,0.013,0.602
t505,0.324,0.476
t506,0.57,0.347
t507,0.722,0.488
t508,0.792,0.622
t509,0.8,0.682
t510,0.747,0.663
t511,0.627,0.625
t512,0.437,0.56
t513,0.16,0.532
t514,0,0.535
t515,0,0.503
t516,0,0.483
t517,0,0.488
t518,0,0.471
t519,0,0.428
t520,0,0.394
t521,0,0.376
t522,0,0.368
t523,0,0.367
t524,0,0.376
t525,0,0.385
t526,0,0.395
t527,0,0.392
t528,0.013,0.362
t529,0.302,0.25
t530,0.548,0.076
t531,0.704,0.018
t532,0.786,0.002
t533,0.794,0.005
t534,0.742,0.007
t535,0.625,0.006
t536,0.429,0.002
t537,0.152,0.001
t538,0,0.023
t539,0,0.05
t540,0,0.062
t541,0,0.079
t542,0,0.113
t543,0,0.125
t544,0,0.095
t545,0,0.059
t546,0,0.03
t547,0,0.011
t548,0,0.001
t549,0,0
t550,0,0
t551,0,0.003
t552,0.003,0.018
t553,0.086,0.057
t554,0.285,0.057
t555,0.591,0.083
t556,0.732,0.153
t557,0.751,0.218
t558,0.712,0.279
t559,0.58,0.352
t560,0.304,0.422
t561,0.074,0.449
t562,0,0.522
t563,0,0.562
t564,0,0.556
t565,0,0.522
t566,0,0.467
t567,0,0.405
t568,0,0.412
t569,0,0.461
t570,0,0.498
t571,0,0.531
t572,0,0.547
t573,0,0.545
t574,0,0.544
t575,0,0.541
t576,0.023,0.534
t577,0.371,0.43
t578,0.611,0.633
t579,0.763,0.672
t580,0.839,0.623
t581,0.851,0.556
t582,0.799,0.51
t583,0.679,0.484
t584,0.481,0.464
t585,0.19,0.425
t586,0,0.468
t587,0,0.498
t588,0,0.463
t589,0,0.404
t590,0,0.401
t591,0,0.44
t592,0,0.442
t593,0,0.413
t594,0,0.374
t595,0,0.328
t596,0,0.279
t597,0,0.207
t598,0,0.124
t599,0,0.041
t600,0.023,0.006
t601,0.267,0.004
t602,0.353,0.005
t603,0.347,0.011
t604,0.422,0.021
t605,0.554,0.039
t606,0.707,0.075
t607,0.582,0.099
t608,0.349,0.083
t609,0.09,0.077
t610,0,0.14
t611,0,0.167
t612,0,0.139
t613,0,0.113
t614,0,0.102
t615,0,0.119
t616,0,0.16
t617,0,0.218
t618,0,0.273
t619,0,0.346
t620,0,0.372
t621,0,0.382
t622,0,0.348
t623,0,0.333
t624,0.005,0.355
t625,0.172,0.31
t626,0.374,0.376
t627,0.644,0.729
t628,0.763,0.92
t629,0.783,0.969
t630,0.71,0.982
t631,0.614,0.985
t632,0.466,0.984
t633,0.19,0.975
t634,0,0.95
t635,0,0.924
t636,0,0.92
t637,0,0.922
t638,0,0.93
t639,0,0.929
t640,0,0.92
t641,0,0.901
