Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,908.8967254,908.8967254,0.059659553,66.08341155,458.7370877,116.7699626,169.0641835,0,97.08920365,0,33.58955823,1.372880442,8.48E-05,29.4993843,11.35183013,450.1596378,90.07896696,235.2340426,0,0,6.05,26.367,10.79,73.40276596,908.8967254,673.6626829,235.2340426,8.236862288,8.236862288,1706.048668,1683.465593,794.3634276,0,117.9406789,5.023416807,3.72655588,59659.55297,0.056876354,0,0,1063829.787,0,5.69E-08,9.53E-05,1.253612249,1.87E-06,0.000149449,2.278103186,1.033160347,96.79039681,0,50.47186054,49.52813946,42.91547855,57.08452145,0,6932379.804,2975063.968,3957315.837,0,0,34.12097337,202.0158712,236.1368446,142.8030704,47.48779004,190.2908605,0.000190291,4.39792697,18.18569137,165.2891534,262.378357
cost,YCurrent,S2,768.9771607,768.9771607,0.042790843,66.08101138,342.0136074,83.78902839,121.3500167,-1.52E-11,69.66781399,0,25.19216867,1.14513782,6.41E-05,29.51145621,11.35792152,426.9635534,67.15880026,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,768.9771607,592.5516288,176.4255319,6.177646716,6.177646716,1224.186059,1208.349241,570.0073894,0,118.0039659,5.023416807,3.72655588,42790.84271,0.039674821,0,0,797872.3404,250000,3.97E-08,9.27E-05,0.899131604,2.37E-05,0.002640809,2.279102154,1.033714741,96.73848698,0,44.47643244,55.52356756,42.90802057,57.09197943,0,4975237.776,2134776.048,2840461.727,-4.55E-10,0,24.48372119,145.0019089,169.4856301,102.4692503,34.08554073,136.5547911,0.000136555,4.84089983,17.87808224,137.4783692,207.1461832
cost,YCurrent,S3,639.7104995,639.7104995,0.027308866,66.07372978,234.1945348,53.40234755,77.69120281,-1.21E-11,44.48534402,0,16.79477911,0.917395197,5.04E-05,29.53407898,11.36933679,405.5159647,45.9871293,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,639.7104995,522.0934782,117.6170213,4.118431144,4.118431144,780.2263693,773.6142814,363.9697209,0,118.1225656,5.023416807,3.72655588,27308.86647,0.028011622,0,0,531914.8936,500000,2.80E-08,0.000102573,0.573747528,8.81E-05,0.015356129,2.280319635,1.034753675,96.64135767,0,36.60945615,63.39054385,42.79756642,57.20243358,0,3179116.487,1360584.49,1818531.997,-3.62E-10,0,15.60452739,92.83371377,108.4382412,65.30805553,21.82238396,87.1304395,8.71E-05,5.743695163,17.56551758,112.3684603,156.8538043
cost,Y2030,S1,807.6329633,807.6329633,0.059659569,55.72454773,374.0940767,137.0502447,87.37458162,-3.95E-11,73.60807152,0,33.58955823,1.372880442,9.11E-05,29.66383727,11.43481179,433.5388866,73.45821578,235.2340426,0,0,6.05,26.367,10.79,73.40276596,807.6329633,572.3989207,235.2340426,8.236862288,8.236862288,2394.269581,945.8175546,938.5648008,0,118.802823,5.023416807,3.72655588,59659.56936,0.073260728,0,0,1063829.787,0,7.33E-08,0.000122798,1.253613391,7.32E-07,5.84E-05,2.811350202,1.04071273,96.08799542,0,46.3198128,53.6801872,65.2525266,34.7474734,0,6398535.849,4175206.306,2223329.542,-1.31E-09,0,47.88539162,113.4981066,161.3834982,200.4099027,26.67995451,227.0898572,0.00022709,3.729121845,18.43284494,148.8697318,222.4778033
cost,Y2030,S2,696.4034001,696.4034001,0.042790855,55.72156229,281.3516145,97.49801412,63.75387845,-1.81E-11,52.64907053,0,25.19216867,1.14513782,6.70E-05,29.67356006,11.43971784,415.0517856,55.2470325,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,696.4034001,519.9778682,176.4255319,6.177646716,6.177646716,1703.291592,690.1267657,671.319916,0,118.8537947,5.023416807,3.72655588,42790.85467,0.051636048,0,0,797872.3404,250000,5.16E-08,0.000120671,0.899111814,4.35E-05,0.004841703,2.803556869,1.041159242,96.04678705,0,40.40066641,59.59933359,64.67575163,35.32424837,0,4592534.314,2970256.086,1622278.228,-5.97E-10,0,34.06583184,82.81521188,116.8810437,142.5722922,19.46733873,162.0396309,0.00016204,4.176484445,18.10247744,126.0662684,178.7153389
cost,Y2030,S3,593.4721336,593.4721336,0.027308874,55.699936,195.5454225,61.62210342,41.59845831,0,33.46437733,0,16.79477911,0.917395197,4.72E-05,29.69681163,11.45145039,397.9267111,38.39787567,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,593.4721336,475.8551123,117.6170213,4.118431144,4.118431144,1076.538959,450.2974593,426.6989474,0,118.975691,5.023416807,3.72655588,27308.87401,0.035551358,0,0,531914.8936,500000,3.56E-08,0.000130182,0.573835311,3.37E-07,5.87E-05,2.792213207,1.042227053,95.94838255,0,32.94938574,67.05061426,63.94487187,36.05512813,0,2935816.599,1877304.162,1058512.436,0,0,21.53077918,54.03569511,75.56647429,90.1105998,12.70214924,102.812749,0.000102813,5.085776511,17.76367359,105.4224527,138.88683
cost,Y2040,S1,758.0546823,758.0546823,0.059659605,50.90132118,332.6532405,142.1738346,44.13026069,-1.19E-11,69.86539645,0,33.58955823,1.372880442,0.000119274,29.94467205,11.57651879,425.4014418,65.32077102,235.2340426,0,0,6.05,26.367,10.79,73.40276596,758.0546823,522.8206398,235.2340426,8.236862288,8.236862288,2775.116631,502.6420007,1008.748178,0,120.2750984,5.023416807,3.72655588,59659.60548,0.109379861,0,0,1063829.787,0,1.09E-07,0.00018334,1.253326523,0.0002876,0.02294164,3.177124424,1.053609862,94.91179195,0,43.88248609,56.11751391,80.3757107,19.6242893,0,6020898.5,4839339.96,1181558.54,-4.10E-10,0,55.50233262,60.31704008,115.8193727,232.2883181,14.17870248,246.4670206,0.000246467,3.48677543,18.22483962,138.1542501,208.0196466
cost,Y2040,S2,660.9720284,660.9720284,0.042790885,50.86916199,251.7357093,99.90813444,34.53468487,-2.25E-11,49.46975221,0,25.19216867,1.14513782,9.47E-05,29.92110798,11.56462855,409.2363191,49.43156603,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,660.9720284,484.5464965,176.4255319,6.177646716,6.177646716,1950.124833,393.3487549,714.2666462,0,120.1515638,5.023416807,3.72655588,42790.88532,0.082285735,0,0,797872.3404,250000,8.23E-08,0.000192297,0.898845869,0.000309479,0.034418886,3.136468539,1.052527699,95.00937607,0,38.08568267,61.91431733,78.62262084,21.37737916,0,4325335.383,3400692.038,924643.3446,-7.77E-10,0,39.00249667,47.20185058,86.20434725,163.2332178,11.09572014,174.328938,0.000174329,3.916964119,17.8737685,118.1406102,167.6103624
cost,Y2040,S3,571.0053161,571.0053161,0.02730889,50.80242864,176.766157,61.63702806,25.07965775,0,30.88770412,0,16.79477911,0.917395197,6.51E-05,29.89704237,11.55248523,394.2391591,34.71032371,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,571.0053161,453.3882948,117.6170213,4.118431144,4.118431144,1203.104229,285.6563535,445.9706355,0,120.0254,5.023416807,3.72655588,27308.88954,0.051078826,0,0,531914.8936,500000,5.11E-08,0.000187041,0.573516061,0.000319586,0.055693006,3.068556048,1.051422504,95.10924453,0,30.95700723,69.04299277,75.75409813,24.24590187,0,2769504.105,2098012.857,671491.2476,0,0,24.06208458,34.27876242,58.340847,100.7046171,8.057894971,108.7625121,0.000108763,4.791488628,17.50640961,99.96252954,130.8502337
cost,Y2050,S1,700.4701427,700.4701427,0.05965973,43.18620798,284.520239,126.9500998,17.49448697,1.20E-11,62.47777213,0,33.58955823,1.372880442,0.000158083,30.68513356,11.95014979,415.9499037,55.86923293,235.2340426,0,0,6.05,26.367,10.79,73.40276596,700.4701427,465.2361002,235.2340426,8.236862288,8.236862288,3003.40914,210.4944264,1039.688096,0,124.1569652,5.023416807,3.72655588,59659.73005,0.233958023,0,0,1063829.787,0,2.34E-07,0.000392154,1.253614123,0,0,3.434889376,1.087615015,91.94429885,0,40.61846774,59.38153226,91.36799336,8.632006645,0,5732252.377,5237443.971,494808.4061,4.27E-10,0,60.0681828,25.25933116,85.32751396,251.3973106,5.937700873,257.3350115,0.000257335,3.147809703,17.89079896,125.319705,187.7974771
