t,s,w
t1,0.244,0.524
t2,0.475,0.467
t3,0.629,0.398
t4,0.711,0.362
t5,0.733,0.355
t6,0.691,0.349
t7,0.593,0.35
t8,0.44,0.346
t9,0.251,0.346
t10,0.058,0.346
t11,0,0.409
t12,0,0.479
t13,0,0.537
t14,0,0.59
t15,0,0.633
t16,0,0.651
t17,0,0.65
t18,0,0.637
t19,0,0.627
t20,0,0.61
t21,0,0.588
t22,0,0.568
t23,0,0.56
t24,0.011,0.564
t25,0.111,0.558
t26,0.242,0.534
t27,0.365,0.494
t28,0.44,0.481
t29,0.461,0.469
t30,0.462,0.45
t31,0.441,0.436
t32,0.355,0.424
t33,0.21,0.41
t34,0.048,0.372
t35,0,0.371
t36,0,0.395
t37,0,0.42
t38,0,0.45
t39,0,0.484
t40,0,0.498
t41,0,0.504
t42,0,0.515
t43,0,0.521
t44,0,0.532
t45,0,0.503
t46,0,0.472
t47,0,0.434
t48,0.006,0.393
t49,0.077,0.334
t50,0.164,0.268
t51,0.246,0.201
t52,0.308,0.166
t53,0.317,0.155
t54,0.317,0.144
t55,0.289,0.13
t56,0.231,0.114
t57,0.122,0.11
t58,0.023,0.127
t59,0,0.175
t60,0,0.228
t61,0,0.27
t62,0,0.293
t63,0,0.3
t64,0,0.266
t65,0,0.226
t66,0,0.22
t67,0,0.232
t68,0,0.247
t69,0,0.25
t70,0,0.259
t71,0,0.283
t72,0.007,0.292
t73,0.087,0.253
t74,0.206,0.223
t75,0.334,0.205
t76,0.438,0.188
t77,0.461,0.166
t78,0.435,0.144
t79,0.37,0.124
t80,0.269,0.119
t81,0.149,0.12
t82,0.031,0.106
t83,0,0.11
t84,0,0.141
t85,0,0.169
t86,0,0.19
t87,0,0.208
t88,0,0.232
t89,0,0.254
t90,0,0.259
t91,0,0.259
t92,0,0.261
t93,0,0.261
t94,0,0.254
t95,0,0.249
t96,0.004,0.231
t97,0.066,0.192
t98,0.215,0.158
t99,0.336,0.134
t100,0.426,0.101
t101,0.481,0.067
t102,0.444,0.041
t103,0.331,0.031
t104,0.204,0.035
t105,0.096,0.053
t106,0.018,0.078
t107,0,0.111
t108,0,0.139
t109,0,0.155
t110,0,0.156
t111,0,0.162
t112,0,0.201
t113,0,0.231
t114,0,0.263
t115,0,0.304
t116,0,0.334
t117,0,0.341
t118,0,0.341
t119,0,0.34
t120,0.011,0.327
t121,0.122,0.289
t122,0.263,0.264
t123,0.39,0.22
t124,0.471,0.171
t125,0.529,0.131
t126,0.552,0.112
t127,0.516,0.107
t128,0.394,0.1
t129,0.218,0.099
t130,0.05,0.119
t131,0,0.156
t132,0,0.188
t133,0,0.22
t134,0,0.252
t135,0,0.264
t136,0,0.256
t137,0,0.254
t138,0,0.259
t139,0,0.266
t140,0,0.28
t141,0,0.295
t142,0,0.297
t143,0,0.289
t144,0.011,0.282
t145,0.106,0.256
t146,0.242,0.286
t147,0.347,0.277
t148,0.42,0.251
t149,0.468,0.236
t150,0.46,0.234
t151,0.404,0.245
t152,0.301,0.274
t153,0.176,0.318
t154,0.044,0.339
t155,0,0.347
t156,0,0.343
t157,0,0.306
t158,0,0.282
t159,0,0.291
t160,0,0.297
t161,0,0.296
t162,0,0.299
t163,0,0.314
t164,0,0.339
t165,0,0.347
t166,0,0.369
t167,0,0.398
t168,0.017,0.404
t169,0.146,0.391
t170,0.293,0.429
t171,0.415,0.44
t172,0.487,0.41
t173,0.511,0.362
t174,0.484,0.311
t175,0.394,0.277
t176,0.282,0.259
t177,0.152,0.249
t178,0.03,0.256
t179,0,0.319
t180,0,0.404
t181,0,0.478
t182,0,0.519
t183,0,0.55
t184,0,0.544
t185,0,0.543
t186,0,0.538
t187,0,0.535
t188,0,0.533
t189,0,0.522
t190,0,0.532
t191,0,0.553
t192,0.019,0.568
t193,0.15,0.57
t194,0.311,0.584
t195,0.44,0.568
t196,0.542,0.535
t197,0.554,0.494
t198,0.532,0.456
t199,0.467,0.442
t200,0.34,0.446
t201,0.151,0.457
t202,0.024,0.453
t203,0,0.441
t204,0,0.464
t205,0,0.474
t206,0,0.476
t207,0,0.476
t208,0,0.468
t209,0,0.457
t210,0,0.449
t211,0,0.448
