Objective,Ycase,Scase,TotalCost,Cost_per_tonne,Total_H2_t_per_t_steel,LCOE_USD_per_MWh,Total_aCAPEX_mUSD_per_year,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,Total_aOPEX_mUSD_per_year,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,LCOS_inc_ore,LCOS_exc_ore,Ore_cost_addition,TotalTransportCost_mUSD,TransportCost_per_tonne_steel,Solar,Wind,Electrolyzer,FuelCell,EAF,Solar_oversizing_factor,Wind_oversizing_factor,H2_Production,CGH2_Storage,CGH2_DRI,CGH2_FC,DRI,Scrap,CGH2_t_per_t_steel,Pct_CGH2_of_total_H2,HDRI_t_per_t_steel,CDRI_t_per_t_steel,Pct_CDRI_of_total_DRI,Ely_oversizing_factor,EAF_oversizing_factor,Plant_capacity_factor_pct,GridImport,CAPEX_share_pct,OPEX_share_pct,share_solar_in_RE,share_wind_in_RE,share_grid_in_total_energy,Total_VRE_Generation,Solar_VRE_Generation,Wind_VRE_Generation,Battery_storage_capacity_MWh,FuelCell_Annual_Generation_MWh,Land_Solar_km2,Land_Wind_km2,Total_Land_km2,CO2_Solar_tonnes,CO2_Wind_tonnes,Total_VRE_CO2_tonnes,CO2_per_tonne_steel,LCOH_USD_per_kg,Ely_energy_share_pct,Cost_Ely_Electricity_mUSD_per_year,Total_H2_Cost_mUSD_per_year
cost,YCurrent,S1,901.8473785,901.8473785,0.05965952,67.42169931,452.844773,65.11606756,227.9987309,0,84.53208845,0,33.58955823,1.372880442,6.64E-05,29.09008176,11.14529932,449.0026055,88.92193469,235.2340426,0,0,6.05,26.367,10.79,73.40276596,901.8473785,666.613336,235.2340426,8.236862288,8.236862288,951.3677826,2270.309481,691.6237543,0,115.7949118,6.227154659,3.708481203,59659.51988,0.023780787,0,0,1063829.787,0,2.38E-08,3.99E-05,1.252357453,0.00125667,0.10024374,1.983463862,1.014363427,98.58399595,0,50.21301651,49.78698349,19.97163983,80.02836017,0,6701147.37,1338329.017,5362818.352,0,0,19.02735565,272.4371378,291.4644934,64.23979283,64.35382023,128.5936131,0.000128594,4.243793308,18.70056805,168.6505828,253.1826712
cost,YCurrent,S2,763.6977017,763.6977017,0.04279082,67.41674968,337.6006831,46.73434069,163.6365764,0,60.64948171,0,25.19216867,1.14513782,4.91E-05,29.09509815,11.14783055,426.0970185,66.29226544,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,763.6977017,587.2721698,176.4255319,6.177646716,6.177646716,682.8045325,1629.419907,496.221293,0,115.8212102,6.227154659,3.708481203,42790.82047,0.017428313,0,0,797872.3404,250000,1.74E-08,4.07E-05,0.898253426,0.000901922,0.10030772,1.98407885,1.014593802,98.56161141,0,44.20606248,55.79393752,19.97163983,80.02836017,0,4809468.936,960529.8137,3848939.122,0,0,13.65609065,195.5303889,209.1864795,46.10543106,46.18726946,92.29270052,9.23E-05,4.696811719,18.37519545,140.3309453,200.980427
cost,YCurrent,S3,636.0463482,636.0463482,0.027308853,67.40682936,231.1317926,29.86372667,104.5654634,2.14E-11,38.73016158,0,16.79477911,0.917395197,3.71E-05,29.1065968,11.15363268,404.9145556,45.3857202,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,636.0463482,518.4293269,117.6170213,4.118431144,4.118431144,436.3191527,1041.21616,316.8820296,0,115.8814918,6.227154659,3.708481203,27308.85278,0.014314133,0,0,531914.8936,500000,1.43E-08,5.24E-05,0.573834516,1.13E-06,0.000197228,1.985309862,1.015121869,98.5103396,0,36.33882865,63.66117135,19.97163983,80.02836017,0,3073300.353,613788.4775,2459511.875,6.42E-10,0,8.726383053,124.9459392,133.6723222,29.46184692,29.51414251,58.97598942,5.90E-05,5.621125371,18.04527672,114.7763236,153.5064852
cost,Y2030,S1,813.598477,813.598477,0.059659525,57.58294087,379.0804512,68.1447855,181.4019004,0,54.31595621,0,33.58955823,1.372880442,7.13E-05,29.10331991,11.15197919,434.5180258,74.43735498,235.2340426,0,0,6.05,26.367,10.79,73.40276596,813.598477,578.3644344,235.2340426,8.236862288,8.236862288,1190.490301,1963.650054,692.5741099,0,115.8643128,6.227154659,3.708481203,59659.52452,0.028426151,0,0,1063829.787,0,2.84E-08,4.76E-05,1.252842434,0.000771689,0.061557108,2.07451827,1.01497138,98.52494561,0,46.59306303,53.40693697,26.52735155,73.47264845,0,6313154.572,1674712.707,4638441.865,0,0,23.80980602,235.6380064,259.4478124,80.38620993,55.66130238,136.0475123,0.000136048,3.451533389,18.63337862,151.6008846,205.9168408
cost,Y2030,S2,700.3849923,700.3849923,0.042790823,57.5795664,284.679695,48.90944249,130.1972814,3.44E-11,38.97131954,0,25.19216867,1.14513782,5.15E-05,29.10929793,11.15499565,415.7052973,55.90054419,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,700.3849923,523.9594604,176.4255319,6.177646716,6.177646716,854.4486049,1409.367256,496.9170907,0,115.8956525,6.227154659,3.708481203,42790.82315,0.020109805,0,0,797872.3404,250000,2.01E-08,4.70E-05,0.898601486,0.000553863,0.061598117,2.075219751,1.015245916,98.49830316,0,40.64617291,59.35382709,26.52735155,73.47264845,0,4531129.832,1201988.739,3329141.092,1.14E-09,0,17.0889721,169.1240707,186.2130428,57.69545949,39.94969311,97.6451526,9.76E-05,3.905425854,18.29637541,128.1450675,167.116387
cost,Y2030,S3,595.618281,595.618281,0.027308854,57.57072459,197.3393157,31.10573328,83.35017101,0,24.88987225,0,16.79477911,0.917395197,3.89E-05,29.1206182,11.16070777,398.2789652,38.75012982,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,595.618281,478.0012597,117.6170213,4.118431144,4.118431144,543.4175705,902.2538759,317.3667983,0,115.954999,6.227154659,3.708481203,27308.85388,0.01542093,0,0,531914.8936,500000,1.54E-08,5.65E-05,0.573833984,1.66E-06,0.000289837,2.076771982,1.015765791,98.44789113,0,33.13184334,66.86815666,26.39933953,73.60066047,0,2895710.02,764448.3199,2131261.7,0,0,10.86835141,108.2704651,119.1388165,36.69351936,25.5751404,62.26865975,6.23E-05,4.827436088,17.95476699,106.9418745,131.8317468
cost,Y2040,S1,769.9946159,769.9946159,0.059659529,53.2950751,342.6334339,69.13939245,152.5382908,0,45.71818335,0,33.58955823,1.372880442,7.42E-05,29.11644993,11.15860449,427.361182,67.28051121,235.2340426,0,0,6.05,26.367,10.79,73.40276596,769.9946159,534.7605733,235.2340426,8.236862288,8.236862288,1349.544228,1737.405365,660.099799,0,115.9331468,6.227154659,3.708481203,59659.52902,0.032922649,0,0,1063829.787,0,3.29E-08,5.52E-05,1.253613554,5.68E-07,4.53E-05,2.079034121,1.015574366,98.46644748,0,44.4981597,55.5018403,31.62794761,68.37205239,0,6002477.841,1898460.547,4104017.294,0,0,26.99088456,208.4886438,235.4795283,91.12610624,49.24820753,140.3743138,0.000140374,3.124192219,18.26891384,140.669653,186.3878363
cost,Y2040,S2,669.1070446,669.1070446,0.042790826,53.30481835,258.5354987,49.47181658,109.6024613,0,32.83860666,0,25.19216867,1.14513782,5.59E-05,29.12322748,11.16202439,410.5715458,50.76679273,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,669.1070446,492.6815127,176.4255319,6.177646716,6.177646716,965.6492797,1248.36789,474.1386483,0,115.9686781,6.227154659,3.708481203,42790.82636,0.023321166,0,0,797872.3404,250000,2.33E-08,5.45E-05,0.899154953,3.96E-07,4.40E-05,2.082027784,1.01588562,98.43627866,0,38.63888459,61.36111541,31.53793511,68.46206489,0,4307255.356,1358419.399,2948835.957,0,0,19.31298559,149.8041468,169.1171324,65.20413115,35.38603148,100.5901626,0.00010059,3.571367803,17.93183525,119.9831729,152.8217795
cost,Y2040,S3,575.6529961,575.6529961,0.027308852,53.29898546,180.6509982,31.57186562,70.09091114,0,20.97229168,0,16.79477911,0.917395197,3.47E-05,29.13550244,11.16821823,395.001998,35.47316258,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,575.6529961,458.0359749,117.6170213,4.118431144,4.118431144,616.2569197,798.3328278,302.8074282,0,116.0330295,6.227154659,3.708481203,27308.85227,0.013804333,0,0,531914.8936,500000,1.38E-08,5.05E-05,0.573835396,2.52E-07,4.39E-05,2.083506759,1.016449339,98.38168632,0,31.38192616,68.61807384,31.4932567,68.5067433,0,2752698.776,866914.4917,1885784.284,0,0,12.32513839,95.79993933,108.1250777,41.6118956,22.62941141,64.24130701,6.42E-05,4.475333262,17.58766547,101.2439232,122.2162149
cost,Y2050,S1,723.4379107,723.4379107,0.059659527,47.82538571,303.7182324,73.16075762,115.3916409,0,39.88714127,0,33.58955823,1.372880442,7.44E-05,29.14378298,11.17239653,419.7196783,59.63900752,235.2340426,0,0,6.05,26.367,10.79,73.40276596,723.4379107,488.2038681,235.2340426,8.236862288,8.236862288,1730.85085,1388.397231,663.7590384,0,116.0764402,6.227154659,3.708481203,59659.52722,0.03112055,0,0,1063829.787,0,3.11E-08,5.22E-05,1.253613485,6.38E-07,5.09E-05,2.192914038,1.016829617,98.34489316,0,41.982626,58.017374,42.60870648,57.39129352,0,5714467.27,2434860.586,3279606.684,0,0,34.617017,166.6076677,201.2246847,116.8733081,39.35528021,156.2285884,0.000156229,2.843247861,17.93376874,129.7396819,169.6268231
